<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRS,5,20210204,102500,3.98,4,3.98,4,245,0
CRS,5,20210208,101500,3.84,3.84,3.84,3.84,600,0
CRS,5,20210208,114500,4,4.14,4,4.14,50,0
CRS,5,20210211,135000,4.14,4.14,4.14,4.14,100,0
CRS,5,20210215,123500,4,4,4,4,100,0
CRS,5,20210215,134000,4,4,4,4,50,0
CRS,5,20210215,162000,3.9,3.9,3.9,3.9,43,0
CRS,5,20210215,164500,4,4,4,4,100,0
CRS,5,20210216,095000,3.9,3.9,3.9,3.9,237,0
CRS,5,20210216,101000,4.06,4.06,4.06,4.06,105,0
CRS,5,20210216,102000,4.06,4.06,4.06,4.06,28,0
CRS,5,20210216,135000,3.92,3.92,3.92,3.92,230,0
CRS,5,20210217,092500,4.08,4.18,4.08,4.18,235,0
CRS,5,20210217,131000,4.18,4.18,4.18,4.18,385,0
CRS,5,20210217,133500,4.18,4.18,4.18,4.18,6,0
CRS,5,20210217,144500,4.2,4.6,4.2,4.6,50,0
CRS,5,20210217,152500,4.6,4.6,4.6,4.6,100,0
CRS,5,20210218,090000,4.6,4.6,4.6,4.6,100,0
CRS,5,20210223,110000,4.2,4.2,4,4,1823,0
CRS,5,20210223,110500,3.8,3.8,3.8,3.8,35,0
CRS,5,20210223,151500,3.84,3.84,3.84,3.84,100,0
CRS,5,20210224,164000,4.08,4.08,4.08,4.08,214,0
CRS,5,20210224,165500,4.1,4.1,4.1,4.1,100,0
CRS,5,20210301,092500,4.1,4.1,4.1,4.1,210,0
CRS,5,20210301,163000,4,4,4,4,1,0
CRS,5,20210302,114000,4,4,3.9,3.9,99,0
CRS,5,20210302,121500,3.9,3.9,3.9,3.9,1,0
CRS,5,20210303,110500,4,4,4,4,50,0
CRS,5,20210303,124500,4.1,4.6,4.1,4.6,700,0
CRS,5,20210303,132000,4.6,4.6,4.6,4.6,160,0
CRS,5,20210303,132500,4.6,4.6,4.6,4.6,97,0
CRS,5,20210303,145500,4.6,4.6,4.6,4.6,50,0
CRS,5,20210303,150000,4.6,4.6,4.6,4.6,242,0
CRS,5,20210303,150500,4.6,4.6,4.6,4.6,5,0
CRS,5,20210303,153000,4.5,4.5,4.5,4.5,115,0
CRS,5,20210303,162000,4.6,4.6,4.6,4.6,57,0
CRS,5,20210304,090000,4.6,4.6,4.6,4.6,100,0
CRS,5,20210304,113500,5,5,5,5,542,0
CRS,5,20210304,124500,5,5,5,5,71,0
CRS,5,20210304,144500,5,5,5,5,19,0
