<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBC,5,20210204,101000,2.56,2.56,2.56,2.56,10,0
IBC,5,20210204,102000,2.44,2.44,2.44,2.44,20,0
IBC,5,20210204,163000,2.44,2.56,2.44,2.56,2275,0
IBC,5,20210205,142000,2.68,2.76,2.68,2.76,180,0
IBC,5,20210205,151000,2.78,3,2.78,3,1211,0
IBC,5,20210205,153000,2.88,3.2,2.88,3.2,730,0
IBC,5,20210208,094500,3.5,3.5,3.5,3.5,20,0
IBC,5,20210208,102000,3.44,3.44,3.44,3.44,20,0
IBC,5,20210208,104000,3.4,4.2,3.4,4.2,245,0
IBC,5,20210208,110000,4,4,4,4,10,0
IBC,5,20210208,111000,4,4,3.8,3.8,45,0
IBC,5,20210208,111500,3.7,3.8,3.5,3.8,540,0
IBC,5,20210208,124500,3.32,3.32,3.32,3.32,605,0
IBC,5,20210208,140000,3.96,3.96,3.96,3.96,10,0
IBC,5,20210209,102500,3.6,3.6,3,3,105,0
IBC,5,20210209,115500,3.3,3.6,3.3,3.6,50,0
IBC,5,20210210,100500,3.6,3.6,3.6,3.6,10,0
IBC,5,20210210,162500,3.6,3.6,3.6,3.6,100,0
IBC,5,20210211,103000,3.6,3.6,3.6,3.6,10,0
IBC,5,20210212,113000,3.5,3.5,3.5,3.5,20,0
IBC,5,20210215,103000,3.48,3.48,3.48,3.48,5,0
IBC,5,20210216,132500,3.48,3.48,3.48,3.48,20,0
IBC,5,20210217,100500,3.44,3.44,3.44,3.44,10,0
IBC,5,20210217,102500,3.3,3.3,3.3,3.3,20,0
IBC,5,20210217,120000,3.2,3.2,3.2,3.2,20,0
IBC,5,20210218,095000,3.4,3.4,3.4,3.4,20,0
IBC,5,20210218,145500,3.2,3.2,3.2,3.2,20,0
IBC,5,20210219,161500,3,3,3,3,20,0
IBC,5,20210222,122000,2.9,2.9,2.9,2.9,510,0
IBC,5,20210222,141000,2.9,3.4,2.9,3.4,190,0
IBC,5,20210223,133500,3,3,3,3,20,0
IBC,5,20210224,135500,3,3,2.98,2.98,577,0
IBC,5,20210224,142500,2.9,2.9,2.88,2.88,363,0
IBC,5,20210224,143500,2.94,2.98,2.94,2.98,360,0
IBC,5,20210301,102500,2.98,2.98,2.98,2.98,20,0
IBC,5,20210301,105500,2.98,3.44,2.98,3.44,405,0
IBC,5,20210303,150500,3.1,3.1,3.1,3.1,10,0
IBC,5,20210303,163000,3.24,3.24,3.24,3.24,20,0
IBC,5,20210304,094500,3.14,3.14,3.1,3.1,335,0
IBC,5,20210304,095500,3.14,3.14,3.14,3.14,325,0
IBC,5,20210308,111500,3.1,3.1,3.1,3.1,5,0
IBC,5,20210309,090000,3,3,3,3,40,0
IBC,5,20210311,090000,2.9,2.9,2.9,2.9,40,0
IBC,5,20210311,161000,2.8,2.8,2.8,2.8,110,0
IBC,5,20210312,090000,2.4,2.4,2.4,2.4,192,0
IBC,5,20210312,101500,2.36,2.36,2.3,2.3,886,0
IBC,5,20210312,111500,2.3,2.3,2.22,2.22,495,0
IBC,5,20210312,114000,2.32,2.32,2.32,2.32,50,0
IBC,5,20210312,114500,2.22,2.22,2.22,2.22,90,0
IBC,5,20210312,150000,2.22,2.22,2.22,2.22,500,0
IBC,5,20210315,090000,2.2,2.2,2.2,2.2,20,0
IBC,5,20210315,090500,2.2,2.2,2.2,2.2,1585,0
IBC,5,20210315,100000,2.3,2.4,2.3,2.4,532,0
IBC,5,20210315,103000,2.38,2.38,2.38,2.38,445,0
IBC,5,20210315,113500,2.38,2.38,2.38,2.38,1149,0
IBC,5,20210315,115500,2.4,2.4,2.4,2.4,1000,0
IBC,5,20210315,131500,2.38,2.38,2.38,2.38,80,0
IBC,5,20210316,155500,2.32,2.32,2.2,2.2,500,0
IBC,5,20210316,160000,2.16,2.16,2.16,2.16,20,0
IBC,5,20210317,090500,2.08,2.08,2.08,2.08,25,0
IBC,5,20210317,092500,2.08,2.4,2.08,2.4,1849,0
IBC,5,20210317,143500,2.26,2.26,2.2,2.2,45,0
IBC,5,20210317,152500,2.2,2.2,2.2,2.2,435,0
IBC,5,20210318,152000,2.14,2.14,2.1,2.1,1050,0
IBC,5,20210319,120000,2,2,1.7,1.7,172,0
IBC,5,20210322,133500,1.92,2.3,1.92,2.3,190,0
IBC,5,20210322,150000,2.3,2.3,2.3,2.3,170,0
IBC,5,20210322,155500,2.3,2.3,2.3,2.3,22,0
IBC,5,20210322,160000,2.3,2.3,2.3,2.3,100,0
