<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KPI,5,20210204,110500,2,2.18,2,2.18,1000,0
KPI,5,20210204,122000,2,2,2,2,503,0
KPI,5,20210204,132000,1.85,1.85,1.75,1.75,1559,0
KPI,5,20210204,142000,1.75,1.75,1.75,1.75,1100,0
KPI,5,20210204,153000,1.85,1.85,1.85,1.85,541,0
KPI,5,20210204,153500,1.75,1.75,1.75,1.75,1050,0
KPI,5,20210204,160000,1.85,1.85,1.74,1.74,1090,0
KPI,5,20210205,091500,1.75,1.75,1.74,1.74,2200,0
KPI,5,20210205,094000,1.75,1.75,1.75,1.75,1000,0
KPI,5,20210205,152500,1.74,1.74,1.74,1.74,1000,0
KPI,5,20210205,162000,1.85,2,1.85,2,600,0
KPI,5,20210209,113000,1.95,1.95,1.85,1.85,600,0
KPI,5,20210209,132500,1.85,1.85,1.85,1.85,270,0
KPI,5,20210209,150500,1.85,1.85,1.85,1.85,500,0
KPI,5,20210210,093500,1.85,1.85,1.85,1.85,541,0
KPI,5,20210212,090000,1.76,1.76,1.75,1.75,1130,0
KPI,5,20210215,161500,1.87,1.98,1.87,1.98,700,0
KPI,5,20210217,093000,1.85,1.85,1.85,1.85,541,0
KPI,5,20210217,161500,1.84,1.84,1.84,1.84,397,0
KPI,5,20210217,162500,1.85,1.85,1.85,1.85,541,0
KPI,5,20210218,114000,1.85,1.85,1.85,1.85,591,0
KPI,5,20210218,130000,1.85,1.85,1.85,1.85,1909,0
KPI,5,20210218,163500,1.76,1.76,1.76,1.76,313,0
KPI,5,20210222,150000,1.77,1.77,1.77,1.77,2000,0
KPI,5,20210222,151500,1.77,1.77,1.77,1.77,3000,0
KPI,5,20210223,101500,1.76,1.76,1.75,1.75,1709,0
KPI,5,20210223,102000,1.75,1.75,1.75,1.75,800,0
KPI,5,20210225,113500,1.76,1.76,1.76,1.76,2500,0
KPI,5,20210226,100000,1.84,1.84,1.84,1.84,1600,0
KPI,5,20210226,100500,1.84,1.84,1.84,1.84,410,0
KPI,5,20210226,101000,1.9,1.9,1.9,1.9,527,0
KPI,5,20210226,101500,1.96,1.97,1.96,1.97,2000,0
KPI,5,20210226,103000,1.9,1.9,1.9,1.9,700,0
KPI,5,20210226,164500,1.84,1.84,1.84,1.84,450,0
KPI,5,20210301,103000,1.77,1.77,1.77,1.77,2500,0
KPI,5,20210301,135500,1.87,1.87,1.87,1.87,2140,0
KPI,5,20210302,163500,1.87,1.87,1.87,1.87,800,0
KPI,5,20210303,135000,1.87,1.87,1.87,1.87,800,0
KPI,5,20210303,163000,1.87,2,1.87,2,10980,0
KPI,5,20210303,164000,1.98,1.98,1.98,1.98,1122,0
KPI,5,20210304,125000,1.85,1.85,1.75,1.75,3500,0
KPI,5,20210304,125500,1.8,1.8,1.8,1.8,556,0
KPI,5,20210304,143000,1.9,1.95,1.9,1.95,13899,0
KPI,5,20210304,143500,1.95,2,1.95,2,17187,0
KPI,5,20210304,164500,2,2,2,2,2883,0
KPI,5,20210305,093000,2,2,2,2,500,0
KPI,5,20210305,120500,1.95,1.95,1.95,1.95,125,0
KPI,5,20210305,164500,1.95,1.95,1.95,1.95,103,0
KPI,5,20210308,104000,1.95,1.95,1.95,1.95,580,0
KPI,5,20210309,152000,2.04,2.04,2.04,2.04,40,0
KPI,5,20210310,125000,1.95,1.95,1.95,1.95,1192,0
KPI,5,20210315,113000,1.9,1.9,1.9,1.9,1527,0
KPI,5,20210315,122000,1.95,2.02,1.95,2.02,1468,0
KPI,5,20210316,121500,1.9,1.9,1.9,1.9,1122,0
KPI,5,20210316,123500,1.95,2.2,1.95,2.2,1590,0
KPI,5,20210316,130500,2,2,2,2,500,0
KPI,5,20210316,140000,2.04,2.04,2.04,2.04,500,0
KPI,5,20210316,144000,2,2,2,2,300,0
KPI,5,20210316,153000,2,2,2,2,2200,0
KPI,5,20210317,161000,2.04,2.04,2.04,2.04,491,0
KPI,5,20210317,163500,2.18,2.22,2.18,2.22,1757,0
KPI,5,20210317,164000,2.22,2.26,2.22,2.26,960,0
KPI,5,20210318,090000,2.2,2.2,2.2,2.2,2810,0
KPI,5,20210318,090500,2,2,2,2,2500,0
KPI,5,20210318,091000,2.04,2.1,2.04,2.1,501,0
KPI,5,20210318,092500,2,2,2,2,1604,0
KPI,5,20210318,093500,2.04,2.1,2.04,2.1,501,0
KPI,5,20210318,114500,2.1,2.1,2.1,2.1,477,0
KPI,5,20210318,163000,2.1,2.1,2.1,2.1,2598,0
KPI,5,20210319,145000,2.06,2.06,2.06,2.06,134,0
KPI,5,20210322,161500,2.08,2.08,2.06,2.06,747,0
KPI,5,20210324,114000,2.1,2.48,2.1,2.48,25531,0
KPI,5,20210324,115500,2.48,2.48,2.42,2.42,2086,0
KPI,5,20210324,121500,2.42,2.42,2.42,2.42,103,0
KPI,5,20210325,111500,2.16,2.16,2.16,2.16,422,0
KPI,5,20210326,090000,2.38,2.38,2.38,2.38,30,0
KPI,5,20210326,113500,2.22,2.22,2.22,2.22,451,0
KPI,5,20210326,164500,2.38,2.38,2.38,2.38,500,0
