<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCS,5,20210205,104000,1.42,1.42,1.42,1.42,200,0
CCS,5,20210208,103000,1.34,1.34,1.34,1.34,846,0
CCS,5,20210209,121500,1.37,1.37,1.37,1.37,100,0
CCS,5,20210210,090500,1.37,1.37,1.37,1.37,900,0
CCS,5,20210211,094500,1.38,1.38,1.38,1.38,100,0
CCS,5,20210212,163500,1.38,1.38,1.38,1.38,3350,0
CCS,5,20210212,164000,1.39,1.39,1.39,1.39,10000,0
CCS,5,20210215,100000,1.38,1.38,1.38,1.38,300,0
CCS,5,20210215,105000,1.41,1.41,1.41,1.41,5809,0
CCS,5,20210215,151500,1.44,1.46,1.44,1.46,835,0
CCS,5,20210215,152000,1.46,1.46,1.46,1.46,485,0
CCS,5,20210215,164500,1.54,1.54,1.54,1.54,10,0
CCS,5,20210216,110000,1.5,1.5,1.5,1.5,50,0
CCS,5,20210216,164500,1.5,1.5,1.5,1.5,1267,0
CCS,5,20210217,132000,1.48,1.48,1.48,1.48,897,0
CCS,5,20210218,103500,1.5,1.5,1.5,1.5,2500,0
CCS,5,20210219,104000,1.47,1.5,1.47,1.5,200,0
CCS,5,20210219,163500,1.5,1.5,1.48,1.48,21733,0
CCS,5,20210222,090000,1.43,1.43,1.43,1.43,4226,0
CCS,5,20210223,101000,1.45,1.45,1.45,1.45,2000,0
CCS,5,20210223,111000,1.5,1.5,1.5,1.5,3900,0
CCS,5,20210223,155500,1.42,1.42,1.42,1.42,1000,0
CCS,5,20210224,111000,1.5,1.5,1.5,1.5,840,0
CCS,5,20210224,145500,1.5,1.5,1.5,1.5,160,0
CCS,5,20210224,153500,1.45,1.45,1.45,1.45,2000,0
CCS,5,20210224,161500,1.45,1.45,1.45,1.45,1000,0
CCS,5,20210224,162000,1.45,1.45,1.45,1.45,4000,0
CCS,5,20210224,165500,1.53,1.53,1.53,1.53,50,0
CCS,5,20210225,143000,1.42,1.42,1.42,1.42,620,0
CCS,5,20210226,160000,1.45,1.45,1.45,1.45,20000,0
CCS,5,20210301,090000,1.5,1.5,1.5,1.5,2000,0
CCS,5,20210301,162500,1.48,1.48,1.48,1.48,2000,0
CCS,5,20210302,110500,1.48,1.48,1.48,1.48,340,0
CCS,5,20210302,112500,1.48,1.5,1.48,1.5,5000,0
CCS,5,20210302,134000,1.45,1.45,1.45,1.45,750,0
CCS,5,20210302,164000,1.48,1.48,1.48,1.48,3000,0
CCS,5,20210304,090000,1.45,1.45,1.45,1.45,1990,0
CCS,5,20210305,121000,1.5,1.5,1.5,1.5,7224,0
CCS,5,20210309,090000,1.5,1.5,1.5,1.5,200,0
CCS,5,20210312,090000,1.42,1.42,1.42,1.42,767,0
CCS,5,20210312,131000,1.43,1.43,1.43,1.43,151,0
CCS,5,20210315,101500,1.42,1.42,1.42,1.42,1,0
CCS,5,20210315,144500,1.42,1.42,1.42,1.42,1000,0
CCS,5,20210319,095000,1.4,1.4,1.4,1.4,715,0
CCS,5,20210319,112000,1.39,1.39,1.39,1.39,1000,0
CCS,5,20210319,113500,1.4,1.4,1.4,1.4,185,0
CCS,5,20210319,142000,1.45,1.45,1.45,1.45,690,0
CCS,5,20210319,142500,1.5,1.5,1.5,1.5,5661,0
CCS,5,20210319,143000,1.5,1.5,1.5,1.5,4444,0
CCS,5,20210319,143500,1.5,1.5,1.5,1.5,7968,0
CCS,5,20210319,144000,1.5,1.5,1.5,1.5,7357,0
CCS,5,20210319,144500,1.5,1.5,1.5,1.5,26000,0
CCS,5,20210319,145000,1.5,1.5,1.5,1.5,3631,0
CCS,5,20210319,145500,1.5,1.5,1.5,1.5,6900,0
CCS,5,20210319,150000,1.5,1.5,1.5,1.5,11077,0
CCS,5,20210319,150500,1.5,1.5,1.5,1.5,4000,0
CCS,5,20210319,151500,1.5,1.58,1.5,1.56,32149,0
CCS,5,20210319,152000,1.6,1.65,1.6,1.65,9249,0
CCS,5,20210319,152500,1.68,1.68,1.68,1.68,3380,0
CCS,5,20210319,155000,1.66,1.67,1.66,1.67,1250,0
CCS,5,20210319,161000,1.6,1.6,1.6,1.6,625,0
CCS,5,20210319,161500,1.53,1.53,1.53,1.53,1375,0
CCS,5,20210319,163500,1.64,1.64,1.64,1.64,1250,0
CCS,5,20210322,090000,1.63,1.63,1.52,1.52,4726,0
CCS,5,20210322,092000,1.63,1.63,1.63,1.63,400,0
CCS,5,20210322,094000,1.62,1.64,1.62,1.64,1500,0
CCS,5,20210323,104000,1.55,1.55,1.55,1.55,1500,0
CCS,5,20210323,145500,1.61,1.63,1.61,1.63,3300,0
CCS,5,20210323,151000,1.63,1.63,1.63,1.63,110,0
CCS,5,20210323,151500,1.64,1.64,1.64,1.64,2890,0
CCS,5,20210323,153500,1.64,1.64,1.64,1.64,2000,0
CCS,5,20210323,162500,1.64,1.64,1.64,1.64,700,0
CCS,5,20210324,090000,1.6,1.6,1.6,1.6,623,0
CCS,5,20210324,101500,1.62,1.62,1.62,1.62,500,0
CCS,5,20210324,104500,1.62,1.62,1.62,1.62,500,0
CCS,5,20210324,111000,1.62,1.62,1.62,1.62,729,0
CCS,5,20210324,124500,1.62,1.62,1.62,1.62,103,0
CCS,5,20210325,141500,1.62,1.62,1.62,1.62,1000,0
CCS,5,20210325,151500,1.6,1.6,1.6,1.6,3200,0
CCS,5,20210325,153500,1.52,1.52,1.52,1.52,1,0
CCS,5,20210325,155500,1.6,1.6,1.6,1.6,1,0
