<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
H4F,5,20210204,090000,1,1,0.96,1,2771,0
H4F,5,20210204,094000,1,1,1,1,2000,0
H4F,5,20210204,094500,1,1,1,1,500,0
H4F,5,20210204,095500,1,1,1,1,35,0
H4F,5,20210204,104000,1,1,1,1,100,0
H4F,5,20210204,111000,0.96,0.96,0.96,0.96,990,0
H4F,5,20210204,112000,0.9,0.9,0.9,0.9,2404,0
H4F,5,20210204,112500,0.96,0.96,0.96,0.96,1010,0
H4F,5,20210204,152500,1,1.04,1,1.04,1073,0
H4F,5,20210205,091000,0.96,0.96,0.96,0.96,2350,0
H4F,5,20210205,093500,0.93,0.93,0.93,0.93,1650,0
H4F,5,20210205,121000,0.96,0.96,0.96,0.96,2926,0
H4F,5,20210205,122500,1.03,1.03,1.03,1.03,1000,0
H4F,5,20210208,093000,0.95,0.95,0.95,0.95,1000,0
H4F,5,20210208,104500,1.03,1.03,1.03,1.03,44,0
H4F,5,20210209,090000,1.03,1.03,1.03,1.03,1000,0
H4F,5,20210210,091000,1.02,1.02,1.02,1.02,20,0
H4F,5,20210210,124000,0.96,0.96,0.96,0.96,850,0
H4F,5,20210210,125000,0.96,0.96,0.96,0.96,135,0
H4F,5,20210210,145500,0.955,0.955,0.955,0.955,205,0
H4F,5,20210210,163000,0.955,0.96,0.955,0.96,2103,0
H4F,5,20210210,164500,1,1,1,1,800,0
H4F,5,20210211,090000,1,1,1,1,400,0
H4F,5,20210211,090500,1,1,1,1,889,0
H4F,5,20210211,094000,1.01,1.01,1.01,1.01,500,0
H4F,5,20210211,153500,0.92,0.92,0.92,0.92,1,0
H4F,5,20210211,163500,1,1,1,1,2,0
H4F,5,20210212,090000,1.01,1.01,1.01,1.01,1000,0
H4F,5,20210212,122000,1.01,1.01,1.01,1.01,1710,0
H4F,5,20210212,152500,1.02,1.02,1.02,1.02,1005,0
H4F,5,20210212,153000,1.02,1.02,1.02,1.02,50,0
H4F,5,20210215,090000,1.06,1.06,1.06,1.06,4545,0
H4F,5,20210215,095000,1.05,1.05,1.05,1.05,1000,0
H4F,5,20210215,102000,1.02,1.05,0.97,1.05,3101,0
H4F,5,20210215,142000,1.05,1.05,1.05,1.05,100,0
H4F,5,20210215,145500,0.975,0.975,0.975,0.975,2,0
H4F,5,20210215,150500,1.05,1.05,1.05,1.05,1,0
H4F,5,20210215,163000,1.05,1.05,1.05,1.05,133,0
H4F,5,20210216,092500,1.05,1.05,1.05,1.05,20,0
H4F,5,20210216,094500,1.02,1.02,1.02,1.02,233,0
H4F,5,20210216,095000,1.05,1.05,1.05,1.05,25,0
H4F,5,20210216,101000,1.04,1.04,1.04,1.04,400,0
H4F,5,20210216,123500,1.04,1.04,1.04,1.04,600,0
H4F,5,20210216,124000,1.05,1.05,1.05,1.05,455,0
H4F,5,20210216,125500,1.05,1.05,1.05,1.05,930,0
H4F,5,20210216,144000,1.05,1.06,1.05,1.06,4604,0
H4F,5,20210216,145500,1.07,1.07,1.07,1.07,500,0
H4F,5,20210216,150500,1.11,1.11,1.11,1.11,1,0
H4F,5,20210216,151000,1.07,1.07,1.07,1.07,220,0
H4F,5,20210216,161000,1.06,1.06,1.05,1.05,25596,0
H4F,5,20210216,163000,1.04,1.04,1.04,1.04,4404,0
H4F,5,20210216,164500,1.08,1.08,1.08,1.08,1,0
H4F,5,20210217,090000,1.08,1.08,1.08,1.08,10,0
H4F,5,20210217,133000,1.05,1.05,1.04,1.04,600,0
H4F,5,20210218,090000,1.04,1.04,1.04,1.04,146,0
H4F,5,20210218,115500,1,1,1,1,300,0
H4F,5,20210218,150000,1.02,1.02,1.02,1.02,180,0
H4F,5,20210218,160500,1.02,1.02,1.02,1.02,100,0
H4F,5,20210218,162000,1.04,1.04,1.04,1.04,680,0
H4F,5,20210219,090000,1,1,1,1,1,0
H4F,5,20210219,091500,1.04,1.04,1.04,1.04,200,0
H4F,5,20210219,115000,1,1,1,1,1000,0
H4F,5,20210219,143500,1.06,1.06,1.06,1.06,374,0
H4F,5,20210222,090000,1.06,1.07,1.06,1.07,638,0
H4F,5,20210222,090500,1.07,1.07,1.07,1.07,212,0
H4F,5,20210222,091000,1.06,1.06,1.06,1.06,645,0
H4F,5,20210222,093500,1.07,1.07,1.07,1.07,1,0
H4F,5,20210222,100500,1.06,1.06,1.06,1.06,155,0
H4F,5,20210222,121500,1.07,1.07,1.07,1.07,997,0
H4F,5,20210222,160500,1.06,1.06,1.06,1.06,34100,0
H4F,5,20210223,155500,1,1,1,1,4699,0
H4F,5,20210224,090000,1.06,1.06,1.06,1.06,20,0
H4F,5,20210224,113000,1.06,1.06,1.06,1.06,1945,0
H4F,5,20210225,112500,1.07,1.07,1.07,1.07,7476,0
H4F,5,20210225,114500,1.11,1.11,1.11,1.11,125,0
H4F,5,20210225,115500,1.11,1.16,1.11,1.15,292,0
H4F,5,20210225,120000,1.15,1.15,1.15,1.15,9758,0
H4F,5,20210225,123500,1.07,1.07,1.07,1.07,100,0
H4F,5,20210225,124000,1.07,1.07,1.07,1.07,11100,0
H4F,5,20210225,145500,1.07,1.07,1.07,1.07,50,0
H4F,5,20210225,150000,1.07,1.07,1.07,1.07,68,0
H4F,5,20210225,150500,1.15,1.15,1.15,1.15,10,0
H4F,5,20210225,151500,1.15,1.16,1.15,1.16,700,0
H4F,5,20210225,154500,1.1,1.1,1.1,1.1,100,0
H4F,5,20210225,160000,1.13,1.13,1.06,1.06,17610,0
H4F,5,20210225,160500,1.05,1.07,0.96,0.96,2980,0
H4F,5,20210225,163000,1.14,1.14,1.14,1.14,10,0
H4F,5,20210225,164000,1.14,1.14,1.14,1.14,1,0
H4F,5,20210225,164500,1.05,1.05,1.05,1.05,1300,0
H4F,5,20210226,090000,1.12,1.12,1.12,1.12,25,0
H4F,5,20210226,092500,1.12,1.12,1.12,1.12,892,0
H4F,5,20210226,103000,1.06,1.06,1.06,1.06,25,0
H4F,5,20210226,114500,1.1,1.13,1.1,1.13,6202,0
H4F,5,20210301,090000,1.13,1.13,1.13,1.13,190,0
H4F,5,20210301,091500,1.13,1.13,1.13,1.13,301,0
H4F,5,20210301,095000,1.12,1.12,1.12,1.12,2440,0
H4F,5,20210301,104500,1.14,1.14,1.14,1.14,5,0
H4F,5,20210301,121000,1.12,1.14,1.12,1.14,113,0
H4F,5,20210301,130500,1.12,1.12,1.12,1.12,1100,0
H4F,5,20210301,135000,1.14,1.14,1.14,1.14,1,0
H4F,5,20210301,163000,1.13,1.13,1.13,1.13,1798,0
H4F,5,20210301,163500,1.14,1.14,1.14,1.14,1,0
