<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INS,5,20210204,095500,3.58,3.58,3.58,3.58,3,0
INS,5,20210205,100500,3.58,3.58,3.58,3.58,3,0
INS,5,20210205,105000,3.58,3.74,3.58,3.74,140,0
INS,5,20210205,134000,3.68,3.68,3.64,3.64,745,0
INS,5,20210208,090500,3.62,3.62,3.62,3.62,600,0
INS,5,20210209,093000,3.62,3.62,3.62,3.62,3,0
INS,5,20210209,101500,3.62,3.62,3.62,3.62,21,0
INS,5,20210212,105500,3.58,3.58,3.58,3.58,3,0
INS,5,20210215,094500,3.58,3.58,3.58,3.58,4,0
INS,5,20210215,160000,3.58,3.58,3.56,3.56,420,0
INS,5,20210215,164500,3.5,3.5,3.5,3.5,20,0
INS,5,20210216,102000,3.42,3.42,3.42,3.42,30,0
INS,5,20210216,103000,3.42,3.42,3.42,3.42,590,0
INS,5,20210216,160500,3.48,3.48,3.48,3.48,550,0
INS,5,20210217,123000,3.4,3.4,3.36,3.36,60,0
INS,5,20210217,151500,3.44,3.44,3.44,3.44,585,0
INS,5,20210222,094500,3.4,3.4,3.4,3.4,5,0
INS,5,20210223,092000,3.4,3.4,3.4,3.4,4,0
INS,5,20210223,163000,3.4,3.4,3.36,3.36,901,0
INS,5,20210223,163500,3.34,3.34,3.34,3.34,2000,0
INS,5,20210224,100500,3.32,3.32,3.32,3.32,4,0
INS,5,20210225,094000,3.32,3.32,3.32,3.32,4,0
INS,5,20210301,093500,3.32,3.32,3.32,3.32,4,0
INS,5,20210301,120000,3.34,3.34,3.34,3.34,20,0
INS,5,20210301,120500,3.32,3.32,3.32,3.32,55,0
INS,5,20210302,095500,3.32,3.32,3.32,3.32,4,0
INS,5,20210303,091000,3.32,3.32,3.32,3.32,4,0
INS,5,20210303,103000,3.32,3.32,3.32,3.32,1192,0
INS,5,20210305,104000,3.26,3.26,3.26,3.26,20,0
INS,5,20210308,115500,3.38,3.38,3.38,3.38,400,0
INS,5,20210308,121000,3.38,3.38,3.38,3.38,215,0
INS,5,20210309,090000,3.38,3.38,3.24,3.24,1000,0
INS,5,20210310,095000,3.24,3.24,3.24,3.24,4,0
INS,5,20210310,120000,3.34,3.34,3.34,3.34,20,0
INS,5,20210310,150500,3.38,3.38,3.38,3.38,20,0
INS,5,20210311,093500,3.38,3.38,3.38,3.38,4,0
INS,5,20210312,090000,3.36,3.36,3.36,3.36,256,0
INS,5,20210312,095500,3.36,3.36,3.36,3.36,50,0
INS,5,20210312,101000,3.36,3.36,3.36,3.36,600,0
INS,5,20210315,094500,3.36,3.36,3.36,3.36,4,0
INS,5,20210316,090000,3.46,3.46,3.46,3.46,200,0
INS,5,20210316,122500,3.44,3.44,3.44,3.44,80,0
INS,5,20210318,094500,3.46,3.46,3.46,3.46,5,0
INS,5,20210319,102000,3.46,3.46,3.46,3.46,3,0
INS,5,20210319,132500,3.44,3.46,3.44,3.46,30,0
INS,5,20210322,094500,3.46,3.46,3.46,3.46,200,0
INS,5,20210322,101500,3.46,3.46,3.46,3.46,3,0
INS,5,20210323,101500,3.46,3.46,3.46,3.46,3,0
INS,5,20210323,142500,3.46,3.46,3.46,3.46,400,0
INS,5,20210324,095500,3.44,3.44,3.44,3.44,3,0
INS,5,20210325,093000,3.4,3.4,3.4,3.4,3,0
INS,5,20210326,102000,3.4,3.4,3.4,3.4,3,0
