<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFG,5,20210210,090000,4.08,4.08,4.08,4.08,250,0
PFG,5,20210210,160000,4.3,4.3,4.3,4.3,256,0
PFG,5,20210211,090000,4.3,4.3,4.3,4.3,235,0
PFG,5,20210212,154500,4.3,4.3,4.3,4.3,150,0
PFG,5,20210218,131500,4.4,4.5,4.4,4.5,50,0
PFG,5,20210218,132000,4.62,4.62,4.62,4.62,157,0
PFG,5,20210219,102500,4.7,5.1,4.7,5.1,290,0
PFG,5,20210219,134000,5.3,5.5,5.3,5.5,40,0
PFG,5,20210222,090000,5.25,6.2,5.25,6.2,100,0
PFG,5,20210222,090500,6.2,6.2,6.2,6.2,446,0
PFG,5,20210222,092000,6.15,6.15,6.15,6.15,200,0
PFG,5,20210222,092500,5.8,5.8,4.2,4.2,335,0
PFG,5,20210222,093000,4.4,4.4,4.4,4.4,31,0
PFG,5,20210222,113500,5.25,5.6,5.25,5.6,60,0
PFG,5,20210222,114000,5.8,5.8,5.8,5.8,40,0
PFG,5,20210222,122000,5.8,5.8,5.8,5.8,60,0
PFG,5,20210224,134000,5.25,6,5.25,6,85,0
PFG,5,20210225,140500,6,6.95,6,6.95,300,0
PFG,5,20210226,162000,7.5,7.5,7.5,7.5,10,0
PFG,5,20210301,133500,6.9,6.9,6.9,6.9,150,0
PFG,5,20210302,092500,6.5,6.5,6.5,6.5,50,0
PFG,5,20210305,105000,6.45,6.45,5.2,5.2,370,0
PFG,5,20210309,095000,6,6,6,6,1,0
PFG,5,20210309,104500,6.45,6.45,6.45,6.45,10,0
PFG,5,20210310,152500,6.45,6.45,6.45,6.45,160,0
PFG,5,20210310,155000,6.85,6.85,6.85,6.85,5,0
PFG,5,20210312,090000,6.85,6.85,6.85,6.85,150,0
PFG,5,20210312,094500,7.5,7.8,7.5,7.8,130,0
PFG,5,20210312,100000,8.2,8.2,8.2,8.2,60,0
PFG,5,20210312,104500,8.2,8.2,8.2,8.2,13,0
PFG,5,20210316,104000,7.7,7.7,7.7,7.7,10,0
PFG,5,20210316,111000,7.7,8.5,7.7,8.5,210,0
PFG,5,20210316,121000,7.7,7.7,7.7,7.7,135,0
PFG,5,20210317,092500,7.3,7.3,7.3,7.3,140,0
PFG,5,20210318,102000,7.3,7.3,7.3,7.3,2,0
PFG,5,20210319,103500,7.3,7.3,7.3,7.3,5,0
PFG,5,20210324,102000,7.3,7.3,7.3,7.3,2,0
PFG,5,20210324,145500,7.3,7.3,7.3,7.3,111,0
PFG,5,20210324,160500,7.4,7.5,7.4,7.5,140,0
PFG,5,20210324,163500,7.5,8.45,7.5,8.45,240,0
PFG,5,20210324,164000,7.35,7.7,7.35,7.7,237,0
PFG,5,20210324,164500,7.4,8,7.4,8,180,0
PFG,5,20210325,115500,7.5,7.5,7.5,7.5,200,0
PFG,5,20210325,120000,7.6,8,7.6,8,137,0
PFG,5,20210325,123000,7.3,7.3,7.3,7.3,162,0
PFG,5,20210325,124000,7.5,7.75,7.5,7.75,145,0
