<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR,5,20210208,090000,77.5,77.5,77.5,77.5,15,0
CSR,5,20210208,112500,79,79,79,79,40,0
CSR,5,20210210,094500,80,80,80,80,52,0
CSR,5,20210210,105500,81,81,81,81,20,0
CSR,5,20210210,111000,82,82,82,82,58,0
CSR,5,20210210,125500,82,82,82,82,29,0
CSR,5,20210211,090000,85,89,85,89,58,0
CSR,5,20210211,102500,88,88,88,88,30,0
CSR,5,20210211,112500,89,89,89,89,11,0
CSR,5,20210211,133500,90,90,89.5,89.5,88,0
CSR,5,20210212,090000,95,95,95,95,20,0
CSR,5,20210212,092000,95,95,95,95,1,0
CSR,5,20210212,093000,97,97,97,97,9,0
CSR,5,20210212,094500,97,97,97,97,4,0
CSR,5,20210212,110500,96,96,96,96,17,0
CSR,5,20210212,155500,96.5,96.5,96.5,96.5,33,0
CSR,5,20210215,091500,96.5,96.5,96.5,96.5,8,0
CSR,5,20210215,092000,96.5,96.5,96.5,96.5,11,0
CSR,5,20210215,093500,97,97,97,97,22,0
CSR,5,20210215,095500,97,97,97,97,50,0
CSR,5,20210215,102000,97,97,97,97,7,0
CSR,5,20210215,102500,97,97,97,97,15,0
CSR,5,20210216,114500,82.5,82.5,82.5,82.5,30,0
CSR,5,20210216,164500,87,87,87,87,1,0
CSR,5,20210217,092500,87,87,87,87,17,0
CSR,5,20210218,154500,83.5,83.5,83.5,83.5,2,0
CSR,5,20210218,155000,83.5,83.5,83,83,35,0
CSR,5,20210219,090000,83,83,83,83,18,0
CSR,5,20210219,094500,83,83,83,83,25,0
CSR,5,20210222,090000,87,87,87,87,33,0
CSR,5,20210303,140000,95,95,95,95,22,0
CSR,5,20210303,151500,95,95,95,95,10,0
CSR,5,20210304,093000,95,95,95,95,14,0
CSR,5,20210304,120000,90.5,90.5,90.5,90.5,23,0
CSR,5,20210304,161000,89,89,89,89,1,0
CSR,5,20210305,114500,89,89,89,89,6,0
CSR,5,20210305,164500,89,89,89,89,30,0
CSR,5,20210309,110500,89.5,89.5,89.5,89.5,23,0
CSR,5,20210311,090000,92,92,92,92,15,0
CSR,5,20210311,103500,93,93,93,93,22,0
CSR,5,20210312,132500,95,95,95,95,10,0
CSR,5,20210312,155000,93,93,91,91,19,0
CSR,5,20210316,090000,100,100,100,100,10,0
CSR,5,20210316,092500,92,92,92,92,22,0
CSR,5,20210316,095000,92,92,92,92,8,0
CSR,5,20210316,105000,92,92,92,92,8,0
CSR,5,20210316,150000,92,92,92,92,3,0
CSR,5,20210317,095500,92.5,92.5,92.5,92.5,21,0
CSR,5,20210317,122500,92.5,92.5,92.5,92.5,18,0
CSR,5,20210319,090000,99,100,99,100,30,0
CSR,5,20210319,090500,99,99,99,99,5,0
CSR,5,20210322,100500,92.5,92.5,92.5,92.5,10,0
CSR,5,20210322,101000,100,100,100,100,19,0
CSR,5,20210322,163500,99.5,99.5,99.5,99.5,9,0
CSR,5,20210323,090000,99.5,99.5,99.5,99.5,20,0
CSR,5,20210323,115000,99.5,100,99.5,100,100,0
CSR,5,20210323,135000,100,100,100,100,10,0
CSR,5,20210324,164000,100,100,100,100,10,0
CSR,5,20210325,090000,100,100,100,100,3,0
CSR,5,20210325,141000,95.5,95.5,95.5,95.5,21,0
CSR,5,20210326,090000,95.5,95.5,95.5,95.5,10,0
CSR,5,20210326,103500,95.5,95.5,95.5,95.5,20,0
CSR,5,20210326,104000,100,100,100,100,9,0
