<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTW,5,20210204,131500,16.7,16.7,16.7,16.7,70,0
PTW,5,20210205,131500,16.8,16.8,16.8,16.8,68,0
PTW,5,20210205,163000,17.2,17.2,17.2,17.2,68,0
PTW,5,20210208,090000,17.9,17.9,17.9,17.9,5,0
PTW,5,20210208,093500,17.9,17.9,17.9,17.9,95,0
PTW,5,20210208,114500,18.2,18.2,18.2,18.2,62,0
PTW,5,20210208,122500,18.3,18.3,18.3,18.3,30,0
PTW,5,20210209,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210209,115000,19.2,19.2,19.2,19.2,62,0
PTW,5,20210209,115500,19.8,19.8,19.8,19.8,4190,0
PTW,5,20210210,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210210,133500,18.6,18.6,18.6,18.6,20,0
PTW,5,20210211,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210212,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210212,103000,18.6,18.6,18.6,18.6,60,0
PTW,5,20210215,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210216,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210217,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210218,090000,19.8,19.8,19.8,19.8,5,0
PTW,5,20210218,155500,18.6,18.6,18.6,18.6,65,0
PTW,5,20210219,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210222,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210223,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210224,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210225,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210226,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210301,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210302,090000,19.4,19.4,19.4,19.4,5,0
PTW,5,20210303,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210304,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210305,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210308,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210309,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210310,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210311,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210312,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210315,090000,19.9,19.9,19.9,19.9,5,0
PTW,5,20210316,090000,20,20,20,20,5,0
PTW,5,20210317,090000,20,20,20,20,5,0
PTW,5,20210318,090000,20,20,20,20,5,0
PTW,5,20210318,131000,18,18,18,18,100,0
PTW,5,20210319,090000,20,20,20,20,5,0
PTW,5,20210322,090000,19,19,19,19,5,0
PTW,5,20210323,090000,19,19,19,19,5,0
PTW,5,20210323,134000,17.6,17.6,17.6,17.6,65,0
PTW,5,20210324,090000,18.8,18.8,18.8,18.8,5,0
PTW,5,20210325,090000,18.8,18.8,18.8,18.8,5,0
PTW,5,20210326,090000,18.8,18.8,18.8,18.8,5,0
