<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EKS,5,20210204,090000,1.34,1.34,1.34,1.34,1,0
EKS,5,20210204,164500,1.38,1.38,1.38,1.38,200,0
EKS,5,20210205,090500,1.34,1.34,1.31,1.31,1926,0
EKS,5,20210205,130000,1.32,1.32,1.32,1.32,1000,0
EKS,5,20210205,164500,1.37,1.37,1.37,1.37,500,0
EKS,5,20210208,090000,1.29,1.29,1.29,1.29,1,0
EKS,5,20210208,115500,1.29,1.29,1.29,1.29,50,0
EKS,5,20210209,115500,1.29,1.29,1.27,1.27,1000,0
EKS,5,20210209,164500,1.35,1.35,1.35,1.35,300,0
EKS,5,20210210,164500,1.39,1.39,1.39,1.39,200,0
EKS,5,20210211,120500,1.3,1.3,1.3,1.3,1,0
EKS,5,20210211,134500,1.3,1.3,1.29,1.29,729,0
EKS,5,20210211,145500,1.37,1.37,1.37,1.37,200,0
EKS,5,20210211,160500,1.29,1.29,1.26,1.26,949,0
EKS,5,20210211,161000,1.24,1.24,1.24,1.24,1,0
EKS,5,20210211,161500,1.25,1.37,1.25,1.37,100,0
EKS,5,20210211,164500,1.24,1.37,1.24,1.37,201,0
EKS,5,20210212,091000,1.24,1.24,1.24,1.24,1,0
EKS,5,20210212,101000,1.24,1.24,1.24,1.24,3000,0
EKS,5,20210212,155000,1.24,1.24,1.24,1.24,1000,0
EKS,5,20210212,160500,1.24,1.24,1.24,1.24,3000,0
EKS,5,20210212,164500,1.42,1.42,1.42,1.42,1200,0
EKS,5,20210215,093500,1.26,1.26,1.26,1.26,1,0
EKS,5,20210215,164500,1.41,1.41,1.41,1.41,300,0
EKS,5,20210216,104000,1.3,1.3,1.3,1.3,1,0
EKS,5,20210216,164500,1.39,1.39,1.39,1.39,200,0
EKS,5,20210217,090000,1.3,1.3,1.3,1.3,1,0
EKS,5,20210217,164500,1.37,1.37,1.37,1.37,300,0
EKS,5,20210218,090000,1.3,1.3,1.3,1.3,1,0
EKS,5,20210218,141000,1.3,1.3,1.3,1.3,197,0
EKS,5,20210218,141500,1.3,1.3,1.3,1.3,82,0
EKS,5,20210218,164500,1.42,1.42,1.42,1.42,300,0
EKS,5,20210219,114000,1.29,1.29,1.29,1.29,1,0
EKS,5,20210219,164500,1.4,1.4,1.4,1.4,500,0
EKS,5,20210222,090000,1.29,1.29,1.29,1.29,1,0
EKS,5,20210222,152000,1.3,1.3,1.29,1.29,500,0
EKS,5,20210223,090000,1.27,1.27,1.27,1.27,1,0
EKS,5,20210223,134500,1.3,1.3,1.27,1.27,3300,0
EKS,5,20210223,163500,1.28,1.28,1.25,1.25,1300,0
EKS,5,20210223,164500,1.38,1.38,1.38,1.38,1000,0
EKS,5,20210224,090000,1.36,1.36,1.26,1.26,11,0
EKS,5,20210224,091000,1.3,1.3,1.3,1.3,80,0
EKS,5,20210224,122500,1.27,1.27,1.27,1.27,10,0
EKS,5,20210224,165500,1.38,1.38,1.38,1.38,350,0
EKS,5,20210225,091000,1.26,1.26,1.26,1.26,1,0
EKS,5,20210225,135500,1.38,1.4,1.38,1.4,6168,0
EKS,5,20210225,140000,1.41,1.42,1.41,1.42,1408,0
EKS,5,20210225,140500,1.29,1.29,1.29,1.29,1,0
EKS,5,20210225,162500,1.42,1.44,1.42,1.44,2400,0
EKS,5,20210225,164500,1.4,1.4,1.4,1.4,50,0
EKS,5,20210226,090000,1.4,1.4,1.4,1.4,10,0
EKS,5,20210226,090500,1.29,1.29,1.29,1.29,1,0
EKS,5,20210226,133000,1.31,1.31,1.3,1.3,1350,0
EKS,5,20210226,145000,1.31,1.31,1.3,1.3,1500,0
EKS,5,20210301,090000,1.39,1.39,1.3,1.3,101,0
EKS,5,20210302,091500,1.3,1.3,1.3,1.3,20,0
EKS,5,20210302,164500,1.39,1.39,1.39,1.39,1000,0
EKS,5,20210303,150000,1.32,1.32,1.3,1.3,1501,0
EKS,5,20210303,164500,1.38,1.38,1.38,1.38,500,0
EKS,5,20210304,102000,1.3,1.3,1.3,1.3,1,0
EKS,5,20210304,164500,1.39,1.39,1.39,1.39,200,0
EKS,5,20210305,093500,1.3,1.3,1.3,1.3,1,0
EKS,5,20210308,093000,1.3,1.3,1.3,1.3,1,0
EKS,5,20210308,164500,1.36,1.36,1.36,1.36,200,0
EKS,5,20210309,112000,1.3,1.3,1.3,1.3,1,0
EKS,5,20210309,131000,1.37,1.4,1.37,1.4,600,0
EKS,5,20210310,092000,1.39,1.39,1.39,1.39,20,0
EKS,5,20210311,090000,1.4,1.4,1.4,1.4,20,0
EKS,5,20210311,123500,1.31,1.31,1.31,1.31,1,0
EKS,5,20210312,135000,1.31,1.31,1.3,1.3,1000,0
EKS,5,20210312,164500,1.37,1.37,1.37,1.37,200,0
EKS,5,20210315,164500,1.42,1.42,1.42,1.42,300,0
EKS,5,20210316,134500,1.3,1.3,1.3,1.3,1,0
EKS,5,20210317,090000,1.31,1.31,1.31,1.31,10,0
EKS,5,20210317,165500,1.4,1.4,1.4,1.4,200,0
EKS,5,20210318,164500,1.44,1.44,1.44,1.44,200,0
EKS,5,20210319,114500,1.44,1.68,1.44,1.51,3500,0
EKS,5,20210319,121500,1.5,1.5,1.5,1.5,10,0
EKS,5,20210319,123500,1.3,1.3,1.3,1.3,1,0
EKS,5,20210319,144000,1.46,1.63,1.46,1.63,1000,0
EKS,5,20210319,144500,1.64,1.64,1.64,1.64,366,0
EKS,5,20210319,150000,1.47,1.47,1.47,1.47,1,0
EKS,5,20210319,152500,1.6,1.6,1.6,1.6,100,0
EKS,5,20210319,164500,1.47,1.47,1.47,1.47,4199,0
EKS,5,20210322,090000,1.51,1.51,1.5,1.5,3700,0
EKS,5,20210322,103500,1.55,1.56,1.55,1.56,300,0
EKS,5,20210322,104500,1.53,1.56,1.53,1.56,11097,0
EKS,5,20210322,105000,1.56,1.62,1.56,1.62,8010,0
EKS,5,20210322,111000,1.6,1.6,1.59,1.59,1230,0
EKS,5,20210322,122500,1.59,1.59,1.59,1.59,93,0
EKS,5,20210322,123500,1.5,1.5,1.5,1.5,1,0
EKS,5,20210322,140500,1.59,1.6,1.59,1.6,2000,0
EKS,5,20210322,141500,1.6,1.62,1.6,1.62,2000,0
EKS,5,20210322,145000,1.59,1.6,1.59,1.6,3125,0
EKS,5,20210322,145500,1.59,1.59,1.59,1.59,500,0
EKS,5,20210322,164500,1.59,1.59,1.59,1.59,1000,0
EKS,5,20210323,090000,1.59,1.59,1.59,1.59,2700,0
EKS,5,20210323,091000,1.63,1.63,1.6,1.63,2250,0
EKS,5,20210323,110000,1.63,1.63,1.63,1.63,10,0
EKS,5,20210323,121000,1.63,1.63,1.63,1.63,500,0
EKS,5,20210324,091000,1.63,1.63,1.63,1.63,10,0
EKS,5,20210324,091500,1.57,1.57,1.57,1.57,100,0
EKS,5,20210324,111000,1.57,1.57,1.57,1.57,7,0
EKS,5,20210324,140000,1.62,1.62,1.62,1.62,80,0
EKS,5,20210324,142500,1.57,1.57,1.57,1.57,4,0
EKS,5,20210324,152500,1.62,1.62,1.62,1.62,20,0
EKS,5,20210324,153000,1.62,1.62,1.57,1.57,6,0
EKS,5,20210325,091500,1.53,1.53,1.53,1.53,1,0
EKS,5,20210325,134000,1.53,1.53,1.53,1.53,199,0
EKS,5,20210326,103500,1.51,1.51,1.51,1.51,200,0
EKS,5,20210326,144000,1.48,1.48,1.48,1.48,1,0
