<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRL,5,20210204,090000,0.565,0.565,0.565,0.565,20,0
WRL,5,20210204,101000,0.565,0.57,0.565,0.57,2200,0
WRL,5,20210204,102500,0.57,0.57,0.57,0.57,9527,0
WRL,5,20210204,122000,0.545,0.545,0.545,0.545,750,0
WRL,5,20210205,090000,0.6,0.6,0.6,0.6,1700,0
WRL,5,20210205,092500,0.6,0.6,0.6,0.6,1464,0
WRL,5,20210205,144000,0.565,0.565,0.55,0.55,1343,0
WRL,5,20210205,145000,0.55,0.55,0.55,0.55,1585,0
WRL,5,20210208,090500,0.55,0.55,0.55,0.55,20,0
WRL,5,20210208,093500,0.6,0.61,0.6,0.61,200,0
WRL,5,20210208,094500,0.61,0.64,0.61,0.64,5000,0
WRL,5,20210208,103500,0.62,0.62,0.62,0.62,5,0
WRL,5,20210209,090000,0.62,0.62,0.62,0.62,20,0
WRL,5,20210210,090000,0.62,0.62,0.62,0.62,20,0
WRL,5,20210211,090000,0.62,0.62,0.62,0.62,20,0
WRL,5,20210211,133500,0.62,0.62,0.62,0.62,2935,0
WRL,5,20210211,134000,0.655,0.655,0.655,0.655,65,0
WRL,5,20210211,134500,0.65,0.655,0.65,0.655,11000,0
WRL,5,20210211,161500,0.63,0.63,0.63,0.63,1555,0
WRL,5,20210212,141500,0.63,0.63,0.63,0.63,20,0
WRL,5,20210212,154500,0.63,0.65,0.63,0.65,15000,0
WRL,5,20210212,164500,0.65,0.65,0.65,0.65,2040,0
WRL,5,20210215,090500,0.65,0.65,0.65,0.65,20,0
WRL,5,20210215,105000,0.645,0.655,0.645,0.655,10000,0
WRL,5,20210215,141000,0.645,0.655,0.645,0.655,7000,0
WRL,5,20210215,153000,0.64,0.655,0.64,0.655,8550,0
WRL,5,20210215,164500,0.655,0.665,0.655,0.665,12000,0
WRL,5,20210216,140500,0.65,0.65,0.65,0.65,20,0
WRL,5,20210216,161000,0.61,0.61,0.59,0.59,9000,0
WRL,5,20210216,162500,0.63,0.65,0.63,0.65,500,0
WRL,5,20210217,090000,0.645,0.645,0.645,0.645,20,0
WRL,5,20210219,100000,0.635,0.635,0.635,0.635,20,0
WRL,5,20210222,092500,0.635,0.635,0.635,0.635,20,0
WRL,5,20210222,095000,0.6,0.6,0.59,0.59,4900,0
WRL,5,20210222,122000,0.62,0.62,0.62,0.62,100,0
WRL,5,20210223,091500,0.62,0.62,0.62,0.62,20,0
WRL,5,20210224,090000,0.62,0.62,0.62,0.62,20,0
WRL,5,20210225,091500,0.62,0.62,0.62,0.62,20,0
WRL,5,20210225,102500,0.59,0.59,0.59,0.59,2200,0
WRL,5,20210225,113000,0.59,0.62,0.59,0.62,120,0
WRL,5,20210225,150500,0.58,0.58,0.58,0.58,2900,0
WRL,5,20210301,160000,0.61,0.63,0.61,0.63,2501,0
WRL,5,20210302,090000,0.63,0.63,0.63,0.63,10000,0
WRL,5,20210303,090500,0.63,0.63,0.63,0.63,20,0
WRL,5,20210303,141500,0.57,0.57,0.57,0.57,3000,0
WRL,5,20210303,150000,0.63,0.63,0.63,0.63,500,0
WRL,5,20210304,090000,0.63,0.63,0.63,0.63,20,0
WRL,5,20210305,090000,0.63,0.63,0.63,0.63,20,0
WRL,5,20210308,090500,0.575,0.575,0.575,0.575,2500,0
WRL,5,20210308,091000,0.575,0.575,0.575,0.575,2500,0
WRL,5,20210308,093000,0.575,0.575,0.575,0.575,200,0
WRL,5,20210308,103500,0.575,0.575,0.575,0.575,1850,0
WRL,5,20210308,112500,0.62,0.62,0.62,0.62,100,0
WRL,5,20210309,090000,0.62,0.62,0.62,0.62,20,0
WRL,5,20210310,090500,0.62,0.62,0.62,0.62,20,0
WRL,5,20210310,115000,0.62,0.63,0.62,0.63,10000,0
WRL,5,20210310,161000,0.63,0.63,0.63,0.63,2500,0
WRL,5,20210311,090000,0.62,0.62,0.62,0.62,20,0
WRL,5,20210311,090500,0.62,0.635,0.62,0.635,5000,0
WRL,5,20210311,101000,0.635,0.65,0.635,0.65,10000,0
WRL,5,20210311,120500,0.69,0.69,0.69,0.69,20,0
WRL,5,20210311,155000,0.63,0.63,0.63,0.63,634,0
WRL,5,20210311,162500,0.625,0.625,0.625,0.625,200,0
WRL,5,20210311,163500,0.625,0.65,0.625,0.65,5000,0
WRL,5,20210312,091000,0.645,0.645,0.645,0.645,20,0
WRL,5,20210315,090000,0.64,0.64,0.64,0.64,20,0
WRL,5,20210315,101000,0.64,0.64,0.64,0.64,1500,0
WRL,5,20210315,122500,0.64,0.645,0.64,0.645,5000,0
WRL,5,20210316,090500,0.64,0.64,0.64,0.64,20,0
WRL,5,20210317,090000,0.64,0.64,0.64,0.64,20,0
WRL,5,20210317,144500,0.62,0.62,0.61,0.61,2000,0
WRL,5,20210317,152000,0.625,0.64,0.625,0.64,1300,0
WRL,5,20210318,161000,0.63,0.63,0.63,0.63,20,0
WRL,5,20210319,094500,0.63,0.63,0.63,0.63,100,0
WRL,5,20210322,090000,0.63,0.63,0.63,0.63,20,0
WRL,5,20210323,090500,0.63,0.63,0.63,0.63,20,0
WRL,5,20210324,090500,0.63,0.63,0.63,0.63,20,0
WRL,5,20210325,090500,0.63,0.63,0.63,0.63,20,0
WRL,5,20210326,093000,0.63,0.63,0.63,0.63,20,0
