<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORG,5,20210205,131000,6.2,6.2,6.1,6.1,40,0
ORG,5,20210208,092500,6,6,6,6,139,0
ORG,5,20210209,113500,5.9,5.9,5.9,5.9,130,0
ORG,5,20210211,115500,6.2,6.2,6.2,6.2,35,0
ORG,5,20210212,162000,5.9,5.9,5.9,5.9,20,0
ORG,5,20210216,134500,6.2,6.3,6.2,6.3,185,0
ORG,5,20210217,090000,6.3,6.3,6.3,6.3,10,0
ORG,5,20210218,105500,6.3,6.3,6.3,6.3,10,0
ORG,5,20210219,100000,6.3,6.3,6.3,6.3,10,0
ORG,5,20210219,110500,6.15,6.15,6,6,230,0
ORG,5,20210222,115000,6,6.2,6,6.2,45,0
ORG,5,20210223,123500,6.2,6.25,6.2,6.25,20,0
ORG,5,20210226,090000,6.25,6.25,6.25,6.25,15,0
ORG,5,20210302,112000,6.4,6.45,6.4,6.45,225,0
ORG,5,20210302,112500,6.5,6.5,6.5,6.5,450,0
ORG,5,20210302,114000,6.2,6.2,5.5,5.5,120,0
ORG,5,20210302,114500,5.4,6.5,5.15,6.5,1025,0
ORG,5,20210302,135000,5.9,5.9,5.85,5.85,40,0
ORG,5,20210303,141000,5.9,5.9,5.9,5.9,10,0
ORG,5,20210304,163500,5.8,5.8,5.8,5.8,100,0
ORG,5,20210305,132500,5.8,5.8,5.8,5.8,10,0
ORG,5,20210305,161500,5.8,5.8,5.8,5.8,100,0
ORG,5,20210308,163000,5.6,5.6,5.6,5.6,20,0
ORG,5,20210312,103000,5.9,6.7,5.9,6.7,400,0
ORG,5,20210312,115500,6.7,6.7,6.7,6.7,8,0
ORG,5,20210312,133000,6.7,6.7,6.7,6.7,15,0
ORG,5,20210315,111500,6.7,6.7,6.7,6.7,2,0
ORG,5,20210315,144000,6.4,6.4,6.4,6.4,20,0
ORG,5,20210315,164500,6.4,6.4,6.4,6.4,1000,0
ORG,5,20210316,090500,6.4,6.4,6.4,6.4,10,0
ORG,5,20210316,164500,6.4,6.4,6.4,6.4,360,0
ORG,5,20210317,090000,6.4,6.4,6.4,6.4,10,0
ORG,5,20210318,095500,6.4,6.4,6.4,6.4,2,0
ORG,5,20210319,090000,6.4,6.4,6.4,6.4,100,0
ORG,5,20210319,094000,6.2,6.2,6.2,6.2,1,0
ORG,5,20210319,105500,6.4,6.4,6.4,6.4,40,0
ORG,5,20210322,090000,6.4,6.4,6.4,6.4,10,0
ORG,5,20210323,090500,6.4,6.4,6.4,6.4,2,0
ORG,5,20210323,151000,6.2,6.2,6,6,209,0
ORG,5,20210326,113500,5.8,5.8,5.8,5.8,190,0
