<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBS,5,20210204,142000,24,24,24,24,40,0
XBS,5,20210204,143000,24.2,24.2,24.2,24.2,40,0
XBS,5,20210205,130500,24.8,24.8,24.8,24.8,100,0
XBS,5,20210205,131000,25,25,25,25,200,0
XBS,5,20210205,132000,25,25,25,25,58,0
XBS,5,20210205,135500,25,25,25,25,22,0
XBS,5,20210208,090000,25,25,25,25,80,0
XBS,5,20210208,105000,26,26,26,26,96,0
XBS,5,20210209,090000,25.8,25.8,25.8,25.8,78,0
XBS,5,20210209,114000,25.8,25.8,25.8,25.8,60,0
XBS,5,20210209,120500,25.8,25.8,25.8,25.8,60,0
XBS,5,20210209,135500,25.8,25.8,25.8,25.8,55,0
XBS,5,20210210,101000,25.8,25.8,25.8,25.8,150,0
XBS,5,20210210,111000,25.8,25.8,25.8,25.8,68,0
XBS,5,20210210,113500,25.8,25.8,25.8,25.8,50,0
XBS,5,20210210,115000,25.8,25.8,25.8,25.8,12,0
XBS,5,20210210,122000,25.8,25.8,25.8,25.8,70,0
XBS,5,20210211,090000,26,26,26,26,77,0
XBS,5,20210212,090000,26,26,26,26,11,0
XBS,5,20210212,125000,26,26,26,26,100,0
XBS,5,20210212,130000,26,26,26,26,79,0
XBS,5,20210212,130500,26,26,26,26,33,0
XBS,5,20210215,090000,26,26,26,26,235,0
XBS,5,20210215,091000,26,26.8,26,26.8,125,0
XBS,5,20210215,092000,26,26,26,26,15,0
XBS,5,20210215,102000,25.6,25.6,25.6,25.6,60,0
XBS,5,20210215,151500,25.6,25.6,25.6,25.6,16,0
XBS,5,20210216,090000,25.6,25.6,25.6,25.6,20,0
XBS,5,20210216,105500,25.8,25.8,25.8,25.8,60,0
XBS,5,20210217,111000,25.6,25.6,25.6,25.6,83,0
XBS,5,20210219,090000,26.4,26.4,26.4,26.4,100,0
XBS,5,20210219,133000,26.4,26.4,26.4,26.4,1,0
XBS,5,20210222,095000,26,26,26,26,30,0
XBS,5,20210222,124000,26,26,26,26,4,0
XBS,5,20210223,093500,26,26,25.8,25.8,126,0
XBS,5,20210226,112000,25.6,25.6,25.6,25.6,33,0
XBS,5,20210301,090000,25.4,25.4,25.4,25.4,48,0
XBS,5,20210301,124500,26,26,26,26,59,0
XBS,5,20210302,092000,26.4,26.4,26.4,26.4,4,0
XBS,5,20210304,103000,26.4,26.4,26.4,26.4,104,0
XBS,5,20210304,103500,26.8,26.8,26.8,26.8,75,0
XBS,5,20210304,104000,26.4,26.4,26.4,26.4,156,0
XBS,5,20210308,090000,26.6,26.6,26.6,26.6,40,0
XBS,5,20210308,091500,26.6,27,26.6,27,185,0
XBS,5,20210316,100500,26.4,26.4,26.4,26.4,37,0
XBS,5,20210316,113500,26.4,27,26.4,27,70,0
XBS,5,20210316,135500,26.8,26.8,26.8,26.8,50,0
XBS,5,20210316,140500,26.8,26.8,26.8,26.8,20,0
XBS,5,20210317,090000,27,27,27,27,200,0
XBS,5,20210317,091000,27,27,27,27,150,0
XBS,5,20210317,121000,26.8,26.8,26.8,26.8,11,0
XBS,5,20210317,131000,26.8,27,26.8,27,50,0
XBS,5,20210317,132500,27,27,27,27,7,0
XBS,5,20210317,144500,27,27.8,27,27.8,830,0
XBS,5,20210317,164000,27,27,27,27,100,0
XBS,5,20210318,100500,27,27,27,27,37,0
XBS,5,20210319,100500,27.2,27.2,27,27,75,0
XBS,5,20210319,153500,27,27,27,27,40,0
XBS,5,20210319,163000,27.4,27.4,27.4,27.4,4,0
XBS,5,20210322,102500,26.2,26.2,26.2,26.2,14,0
XBS,5,20210322,113000,27,27,27,27,7,0
XBS,5,20210322,113500,27.8,27.8,27.8,27.8,33,0
XBS,5,20210322,140000,27.8,27.8,27.8,27.8,80,0
XBS,5,20210323,090000,27.4,27.4,27.4,27.4,59,0
XBS,5,20210323,114000,27.2,27.2,27.2,27.2,50,0
XBS,5,20210323,135000,27.2,27.2,26.8,26.8,150,0
XBS,5,20210323,145000,27.4,27.4,27.4,27.4,450,0
XBS,5,20210323,145500,27.4,27.4,27.4,27.4,191,0
XBS,5,20210323,152500,27.4,27.4,27.4,27.4,2900,0
XBS,5,20210323,155000,27.4,27.4,27.4,27.4,40,0
XBS,5,20210323,160500,27.4,27.4,27.4,27.4,73,0
XBS,5,20210323,161000,27.8,27.8,27.8,27.8,58,0
XBS,5,20210323,162000,27.8,27.8,27.8,27.8,44,0
XBS,5,20210323,165500,27.6,27.6,27.6,27.6,300,0
XBS,5,20210324,135000,27,27,27,27,475,0
XBS,5,20210325,092000,27,27,27,27,234,0
XBS,5,20210326,090000,27.2,27.2,27.2,27.2,75,0
XBS,5,20210326,095000,27.2,27.2,27.2,27.2,25,0
