<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLT,5,20210204,101000,0.89,0.89,0.89,0.89,1100,0
TLT,5,20210205,153500,0.895,0.895,0.895,0.895,250,0
TLT,5,20210208,123500,0.89,0.89,0.89,0.89,221,0
TLT,5,20210208,132000,0.89,0.895,0.89,0.895,7918,0
TLT,5,20210208,140000,0.895,0.895,0.895,0.895,800,0
TLT,5,20210209,093000,0.85,0.85,0.805,0.805,1336,0
TLT,5,20210209,101000,0.82,0.82,0.82,0.82,3,0
TLT,5,20210209,103500,0.82,0.82,0.82,0.82,362,0
TLT,5,20210209,132500,0.87,0.935,0.87,0.935,2700,0
TLT,5,20210210,100500,0.9,0.9,0.9,0.9,1106,0
TLT,5,20210211,101500,0.9,0.9,0.9,0.9,60,0
TLT,5,20210211,132000,0.85,0.85,0.82,0.82,8009,0
TLT,5,20210211,163500,0.9,0.9,0.9,0.9,30,0
TLT,5,20210211,164500,0.9,0.9,0.9,0.9,261,0
TLT,5,20210212,090000,0.83,0.83,0.83,0.83,261,0
TLT,5,20210212,122500,0.84,0.935,0.84,0.935,653,0
TLT,5,20210212,123500,0.84,0.84,0.83,0.83,3858,0
TLT,5,20210212,124500,0.83,0.935,0.83,0.935,893,0
TLT,5,20210212,160500,0.83,0.83,0.83,0.83,3,0
TLT,5,20210215,090000,0.85,0.85,0.85,0.85,1459,0
TLT,5,20210215,093000,0.91,0.91,0.91,0.91,314,0
TLT,5,20210215,155000,0.85,0.85,0.85,0.85,11960,0
TLT,5,20210215,161500,0.89,0.89,0.89,0.89,100,0
TLT,5,20210216,090000,0.89,0.89,0.89,0.89,105,0
TLT,5,20210216,160500,0.89,0.89,0.89,0.89,250,0
TLT,5,20210217,153000,0.86,0.86,0.84,0.84,5000,0
TLT,5,20210217,160500,0.875,0.875,0.875,0.875,100,0
TLT,5,20210218,091000,0.84,0.84,0.84,0.84,1000,0
TLT,5,20210218,110000,0.88,0.88,0.88,0.88,100,0
TLT,5,20210218,162500,0.87,0.87,0.87,0.87,100,0
TLT,5,20210219,091500,0.83,0.83,0.83,0.83,762,0
TLT,5,20210219,123000,0.885,0.885,0.885,0.885,50,0
TLT,5,20210223,112000,0.88,0.88,0.88,0.88,166,0
TLT,5,20210225,144500,0.83,0.83,0.83,0.83,1323,0
TLT,5,20210226,102500,0.83,0.83,0.83,0.83,100,0
TLT,5,20210226,154000,0.83,0.83,0.83,0.83,1300,0
TLT,5,20210226,160000,0.85,0.85,0.85,0.85,100,0
TLT,5,20210301,093500,0.81,0.81,0.81,0.81,500,0
TLT,5,20210301,111500,0.82,0.82,0.82,0.82,1200,0
TLT,5,20210301,145500,0.85,0.85,0.85,0.85,350,0
TLT,5,20210302,160000,0.87,0.87,0.87,0.87,1000,0
TLT,5,20210303,101500,0.87,0.87,0.87,0.87,234,0
TLT,5,20210305,151500,0.87,0.87,0.87,0.87,1000,0
TLT,5,20210308,093000,0.86,0.87,0.86,0.87,2000,0
TLT,5,20210308,161000,0.86,0.87,0.86,0.87,8064,0
TLT,5,20210309,090000,0.87,0.87,0.87,0.87,100,0
TLT,5,20210309,093500,0.82,0.82,0.82,0.82,1061,0
TLT,5,20210309,101000,0.82,0.82,0.82,0.82,245,0
TLT,5,20210309,104500,0.82,0.82,0.82,0.82,1805,0
TLT,5,20210309,105000,0.86,0.87,0.86,0.87,2900,0
TLT,5,20210309,130500,0.81,0.81,0.8,0.8,2900,0
TLT,5,20210309,151500,0.85,0.87,0.85,0.87,120,0
TLT,5,20210309,161000,0.8,0.8,0.8,0.8,500,0
TLT,5,20210309,161500,0.87,0.87,0.87,0.87,150,0
TLT,5,20210315,092500,0.8,0.8,0.8,0.8,1396,0
TLT,5,20210315,093000,0.8,0.865,0.8,0.865,2105,0
TLT,5,20210315,104000,0.78,0.78,0.77,0.77,4000,0
TLT,5,20210315,104500,0.77,0.77,0.77,0.77,4064,0
TLT,5,20210315,105000,0.82,0.82,0.82,0.82,44,0
TLT,5,20210315,144500,0.82,0.855,0.82,0.855,60,0
TLT,5,20210316,090000,0.77,0.77,0.77,0.77,5000,0
TLT,5,20210316,105000,0.785,0.785,0.77,0.77,6000,0
TLT,5,20210316,112500,0.84,0.84,0.84,0.84,100,0
TLT,5,20210316,132000,0.8,0.8,0.8,0.8,1457,0
TLT,5,20210317,092000,0.84,0.84,0.84,0.84,1,0
TLT,5,20210317,100000,0.8,0.8,0.8,0.8,400,0
TLT,5,20210317,102500,0.8,0.8,0.8,0.8,600,0
TLT,5,20210317,104500,0.8,0.8,0.8,0.8,10000,0
TLT,5,20210317,112500,0.8,0.8,0.8,0.8,1471,0
TLT,5,20210317,131000,0.765,0.765,0.765,0.765,250,0
TLT,5,20210317,153000,0.84,0.84,0.84,0.84,100,0
TLT,5,20210318,120000,0.835,0.835,0.835,0.835,1000,0
TLT,5,20210322,135500,0.835,0.835,0.835,0.835,12,0
TLT,5,20210323,112000,0.82,0.82,0.82,0.82,928,0
TLT,5,20210324,125500,0.765,0.765,0.75,0.75,2500,0
TLT,5,20210324,140500,0.76,0.76,0.76,0.76,1100,0
TLT,5,20210324,162000,0.795,0.795,0.795,0.795,120,0
