<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MND,5,20210204,131000,0.7,0.7,0.7,0.7,2033,0
MND,5,20210204,134000,0.7,0.7,0.7,0.7,1500,0
MND,5,20210205,090000,0.7,0.7,0.7,0.7,1000,0
MND,5,20210208,122500,0.66,0.66,0.63,0.63,3704,0
MND,5,20210208,132000,0.66,0.66,0.66,0.66,1000,0
MND,5,20210210,163500,0.66,0.66,0.66,0.66,500,0
MND,5,20210211,092000,0.695,0.695,0.695,0.695,400,0
MND,5,20210211,111000,0.695,0.695,0.695,0.695,890,0
MND,5,20210211,111500,0.7,0.7,0.7,0.7,1713,0
MND,5,20210211,134500,0.69,0.69,0.69,0.69,1450,0
MND,5,20210211,151500,0.69,0.7,0.69,0.7,1500,0
MND,5,20210211,152000,0.76,0.765,0.76,0.765,2500,0
MND,5,20210211,162500,0.755,0.755,0.755,0.755,2000,0
MND,5,20210211,163000,0.75,0.75,0.75,0.75,1000,0
MND,5,20210212,090000,0.75,0.75,0.75,0.75,100,0
MND,5,20210212,092000,0.75,0.77,0.75,0.77,1100,0
MND,5,20210212,150000,0.835,0.84,0.835,0.84,5683,0
MND,5,20210212,150500,0.845,0.85,0.845,0.845,6591,0
MND,5,20210215,091500,0.845,0.845,0.845,0.845,400,0
MND,5,20210215,131500,0.84,0.84,0.84,0.84,2500,0
MND,5,20210216,164500,0.79,0.795,0.73,0.795,5047,0
MND,5,20210217,115000,0.675,0.675,0.675,0.675,1500,0
MND,5,20210217,115500,0.795,0.795,0.795,0.795,100,0
MND,5,20210223,090500,0.79,0.795,0.79,0.795,2250,0
MND,5,20210223,161000,0.795,0.795,0.795,0.795,1794,0
MND,5,20210224,143500,0.795,0.795,0.795,0.795,1130,0
MND,5,20210224,145000,0.795,0.795,0.795,0.795,1870,0
MND,5,20210302,163000,0.81,0.88,0.81,0.88,20000,0
MND,5,20210303,100000,0.87,0.945,0.87,0.945,28000,0
MND,5,20210303,115500,0.85,0.85,0.85,0.85,2000,0
MND,5,20210308,144500,0.84,0.84,0.84,0.84,100,0
MND,5,20210308,145000,0.85,0.85,0.85,0.85,50,0
MND,5,20210309,103500,0.88,0.88,0.88,0.88,1,0
MND,5,20210310,093500,0.88,0.88,0.88,0.88,1246,0
MND,5,20210310,155500,0.82,0.82,0.82,0.82,487,0
MND,5,20210311,164500,0.8,0.8,0.8,0.8,1000,0
MND,5,20210312,155500,0.82,0.82,0.82,0.82,1,0
MND,5,20210312,161000,0.82,0.87,0.82,0.87,10000,0
MND,5,20210312,162000,0.85,0.87,0.85,0.87,5000,0
MND,5,20210312,162500,0.87,0.87,0.87,0.87,1100,0
MND,5,20210312,163500,0.87,0.87,0.87,0.87,1103,0
MND,5,20210312,164500,0.92,0.92,0.92,0.92,142,0
MND,5,20210315,094000,0.945,0.945,0.945,0.945,1350,0
MND,5,20210315,102000,0.94,0.94,0.94,0.94,500,0
MND,5,20210317,162000,0.94,0.94,0.94,0.94,44,0
MND,5,20210318,142500,0.85,0.85,0.85,0.85,1,0
MND,5,20210318,152500,0.85,0.94,0.85,0.94,15000,0
MND,5,20210319,110000,0.92,0.92,0.92,0.92,1,0
MND,5,20210319,110500,0.92,0.92,0.92,0.92,57,0
MND,5,20210319,113000,0.92,0.94,0.92,0.94,1009,0
MND,5,20210319,160000,0.87,0.87,0.87,0.87,1150,0
MND,5,20210322,090000,0.86,0.86,0.86,0.86,1163,0
MND,5,20210322,111000,0.88,0.88,0.88,0.88,100,0
MND,5,20210326,145500,0.88,0.94,0.88,0.94,5000,0
MND,5,20210326,150000,0.94,0.94,0.94,0.94,2000,0
MND,5,20210326,151000,0.94,0.95,0.94,0.95,45000,0
