<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMC,5,20210205,101000,2.24,2.24,2.02,2.02,1200,0
MMC,5,20210212,090000,2.24,2.24,2.24,2.24,400,0
MMC,5,20210215,090500,2.24,2.24,2.24,2.24,257,0
MMC,5,20210215,091000,2.24,2.24,2.24,2.24,190,0
MMC,5,20210215,091500,2.1,2.1,2.1,2.1,10,0
MMC,5,20210216,093000,2.24,2.24,2.24,2.24,400,0
MMC,5,20210216,142000,2.24,2.24,2.24,2.24,200,0
MMC,5,20210219,090000,2.24,2.24,2.24,2.24,400,0
MMC,5,20210226,090000,2.1,2.1,2.1,2.1,477,0
MMC,5,20210226,154500,2.12,2.12,2.12,2.12,300,0
MMC,5,20210226,155000,2.12,2.12,2.1,2.1,550,0
MMC,5,20210226,155500,2.1,2.1,2.08,2.08,508,0
MMC,5,20210301,112000,2.1,2.1,2.1,2.1,477,0
MMC,5,20210301,113000,2.08,2.08,2.08,2.08,484,0
MMC,5,20210301,144500,2,2,2,2,1000,0
MMC,5,20210302,125000,1.96,1.96,1.96,1.96,511,0
MMC,5,20210308,134000,1.86,1.86,1.86,1.86,400,0
MMC,5,20210308,134500,1.84,1.84,1.84,1.84,547,0
MMC,5,20210308,142500,1.84,1.84,1.84,1.84,300,0
MMC,5,20210308,145500,1.8,1.8,1.8,1.8,158,0
MMC,5,20210309,161500,2.1,2.1,2.1,2.1,353,0
MMC,5,20210309,163500,2.18,2.18,2.18,2.18,460,0
MMC,5,20210310,090500,2.32,2.32,2.32,2.32,31,0
MMC,5,20210310,092000,2.32,2.74,2.32,2.74,1000,0
MMC,5,20210310,093500,2.72,2.74,2.72,2.74,941,0
MMC,5,20210310,094000,2.74,2.74,2.74,2.74,100,0
MMC,5,20210310,104500,2.74,2.74,2.74,2.74,400,0
MMC,5,20210310,112500,2.74,2.74,2.74,2.74,22,0
MMC,5,20210310,121500,2.74,2.74,2.74,2.74,238,0
MMC,5,20210311,095000,2.98,3,2.98,3,733,0
MMC,5,20210311,095500,3.48,3.48,3.48,3.48,167,0
MMC,5,20210311,102000,3.48,3.48,3.48,3.48,30,0
MMC,5,20210311,120000,2.98,2.98,2.98,2.98,50,0
MMC,5,20210311,150500,2.98,2.98,2.98,2.98,300,0
MMC,5,20210311,155000,2.96,2.96,2.96,2.96,465,0
MMC,5,20210315,131500,2.5,2.5,2.5,2.5,400,0
MMC,5,20210315,133500,2.54,2.54,2.54,2.54,400,0
MMC,5,20210319,103500,2.58,2.58,2.58,2.58,140,0
MMC,5,20210319,145500,3.04,3.04,3.04,3.04,300,0
MMC,5,20210322,090000,2.98,2.98,2.98,2.98,264,0
MMC,5,20210323,161000,2.62,2.62,2.62,2.62,64,0
MMC,5,20210326,092500,2.98,2.98,2.98,2.98,36,0
