<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WOD,5,20210204,102000,10,10,10,10,120,0
WOD,5,20210204,151500,10,10,10,10,130,0
WOD,5,20210205,090000,10,10,10,10,2,0
WOD,5,20210205,103000,9.9,9.9,9.9,9.9,70,0
WOD,5,20210210,111000,10,10,10,10,10,0
WOD,5,20210210,113500,10,10,10,10,400,0
WOD,5,20210210,124500,10,10,10,10,250,0
WOD,5,20210210,140000,10,10,10,10,200,0
WOD,5,20210212,154500,9.9,9.9,9.9,9.9,80,0
WOD,5,20210215,092500,9.65,9.65,9.65,9.65,91,0
WOD,5,20210215,110500,9.95,9.95,9.95,9.95,21,0
WOD,5,20210215,122000,9.65,9.65,9.65,9.65,208,0
WOD,5,20210215,123500,9.95,9.95,9.95,9.95,99,0
WOD,5,20210215,124000,9.95,9.95,9.95,9.95,16,0
WOD,5,20210218,123500,9.65,9.65,9.65,9.65,54,0
WOD,5,20210219,090000,9.95,9.95,9.95,9.95,165,0
WOD,5,20210219,134000,9.95,9.95,9.95,9.95,35,0
WOD,5,20210222,102500,9.7,9.7,9.7,9.7,136,0
WOD,5,20210222,105000,10,10,10,10,173,0
WOD,5,20210225,113500,9.95,9.95,9.95,9.95,96,0
WOD,5,20210302,090000,9.95,9.95,9.95,9.95,33,0
WOD,5,20210303,155500,9.95,9.95,9.95,9.95,7,0
WOD,5,20210304,150000,9.8,9.8,9.7,9.7,600,0
WOD,5,20210308,090000,9.95,9.95,9.95,9.95,47,0
WOD,5,20210309,115000,9.95,9.95,9.95,9.95,10,0
WOD,5,20210311,091500,9.95,9.95,9.95,9.95,147,0
WOD,5,20210312,124500,9.75,9.75,9.75,9.75,132,0
WOD,5,20210315,124500,9.75,9.75,9.75,9.75,34,0
WOD,5,20210315,144500,9.95,9.95,9.95,9.95,10,0
WOD,5,20210316,093000,9.95,9.95,9.95,9.95,155,0
WOD,5,20210317,151000,9.8,9.8,9.8,9.8,7,0
WOD,5,20210317,161000,10,10,10,10,1000,0
WOD,5,20210318,141000,9.9,9.9,9.9,9.9,193,0
WOD,5,20210322,094000,10.1,10.1,10.1,10.1,99,0
WOD,5,20210322,130500,9.9,9.9,9.9,9.9,233,0
WOD,5,20210325,091000,9.85,9.85,9.85,9.85,10,0
WOD,5,20210325,110500,9.85,9.85,9.85,9.85,275,0
WOD,5,20210325,162000,9.8,9.8,9.8,9.8,400,0
WOD,5,20210325,163000,9.8,9.8,9.7,9.7,500,0
WOD,5,20210326,152000,9.7,9.7,9.7,9.7,500,0
