<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFC,5,20210204,090000,0.51,0.51,0.51,0.51,1575,0
AFC,5,20210204,092000,0.45,0.45,0.45,0.45,1600,0
AFC,5,20210204,100500,0.51,0.51,0.51,0.51,241,0
AFC,5,20210204,145000,0.46,0.46,0.452,0.452,5000,0
AFC,5,20210205,164000,0.505,0.505,0.505,0.505,50,0
AFC,5,20210208,110000,0.505,0.505,0.505,0.505,3300,0
AFC,5,20210208,164500,0.505,0.505,0.505,0.505,300,0
AFC,5,20210209,124500,0.505,0.53,0.505,0.53,115,0
AFC,5,20210209,130000,0.53,0.53,0.53,0.53,860,0
AFC,5,20210209,130500,0.53,0.53,0.53,0.53,900,0
AFC,5,20210209,131500,0.55,0.55,0.55,0.55,4,0
AFC,5,20210209,133000,0.53,0.53,0.53,0.53,300,0
AFC,5,20210209,145000,0.51,0.51,0.51,0.51,1700,0
AFC,5,20210210,152000,0.52,0.52,0.52,0.52,500,0
AFC,5,20210210,160500,0.52,0.52,0.52,0.52,1230,0
AFC,5,20210211,092500,0.515,0.515,0.515,0.515,500,0
AFC,5,20210211,093000,0.515,0.515,0.515,0.515,475,0
AFC,5,20210212,090000,0.5,0.5,0.5,0.5,1814,0
AFC,5,20210212,102000,0.5,0.5,0.5,0.5,500,0
AFC,5,20210212,102500,0.5,0.5,0.5,0.5,482,0
AFC,5,20210212,104000,0.49,0.49,0.49,0.49,1,0
AFC,5,20210212,105000,0.49,0.49,0.49,0.49,35,0
AFC,5,20210212,113500,0.49,0.49,0.49,0.49,439,0
AFC,5,20210212,122000,0.52,0.52,0.52,0.52,2045,0
AFC,5,20210215,141500,0.52,0.52,0.45,0.45,2255,0
AFC,5,20210215,164500,0.54,0.54,0.54,0.54,100,0
AFC,5,20210216,090000,0.54,0.54,0.54,0.54,500,0
AFC,5,20210218,150000,0.51,0.525,0.51,0.525,9650,0
AFC,5,20210218,152500,0.535,0.535,0.535,0.535,350,0
AFC,5,20210218,154000,0.472,0.472,0.472,0.472,241,0
AFC,5,20210218,164500,0.535,0.535,0.535,0.535,100,0
AFC,5,20210219,090000,0.476,0.476,0.476,0.476,800,0
AFC,5,20210219,101500,0.53,0.535,0.53,0.535,2593,0
AFC,5,20210222,090000,0.54,0.54,0.54,0.54,100,0
AFC,5,20210222,132000,0.48,0.48,0.48,0.48,100,0
AFC,5,20210223,162000,0.482,0.482,0.482,0.482,500,0
AFC,5,20210224,132000,0.51,0.51,0.51,0.51,100,0
AFC,5,20210224,152000,0.545,0.55,0.545,0.55,553,0
AFC,5,20210302,114500,0.49,0.49,0.49,0.49,693,0
AFC,5,20210302,134500,0.54,0.54,0.54,0.54,1105,0
AFC,5,20210302,145000,0.54,0.54,0.54,0.54,75,0
AFC,5,20210304,090000,0.54,0.54,0.54,0.54,2067,0
AFC,5,20210304,093500,0.54,0.54,0.54,0.54,2933,0
AFC,5,20210304,113500,0.54,0.54,0.54,0.54,3736,0
AFC,5,20210305,145000,0.484,0.484,0.484,0.484,1999,0
AFC,5,20210305,164000,0.54,0.56,0.54,0.56,3785,0
AFC,5,20210309,124500,0.56,0.56,0.56,0.56,1,0
AFC,5,20210310,100000,0.56,0.62,0.56,0.62,2899,0
AFC,5,20210310,100500,0.62,0.62,0.62,0.62,1430,0
AFC,5,20210310,133500,0.615,0.62,0.615,0.62,2300,0
AFC,5,20210310,152000,0.62,0.62,0.62,0.62,2555,0
AFC,5,20210310,154000,0.6,0.6,0.6,0.6,1200,0
AFC,5,20210310,162500,0.6,0.6,0.6,0.6,500,0
AFC,5,20210310,163500,0.6,0.6,0.6,0.6,785,0
AFC,5,20210311,090000,0.64,0.64,0.64,0.64,270,0
AFC,5,20210311,164500,0.64,0.64,0.64,0.64,1730,0
AFC,5,20210312,090000,0.655,0.69,0.655,0.69,5650,0
AFC,5,20210312,090500,0.69,0.69,0.66,0.66,2333,0
AFC,5,20210312,091000,0.69,0.69,0.69,0.69,1000,0
AFC,5,20210312,091500,0.69,0.69,0.69,0.69,1000,0
AFC,5,20210312,092500,0.69,0.69,0.69,0.69,380,0
AFC,5,20210312,093000,0.7,0.7,0.7,0.7,120,0
AFC,5,20210312,100500,0.7,0.7,0.7,0.7,880,0
AFC,5,20210312,110000,0.745,0.745,0.745,0.745,1000,0
AFC,5,20210312,115500,0.71,0.71,0.71,0.71,150,0
AFC,5,20210312,120000,0.71,0.71,0.7,0.7,4976,0
AFC,5,20210312,120500,0.7,0.7,0.68,0.68,6079,0
