<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BVT,5,20210204,090000,1.52,1.52,1.52,1.52,104,0
BVT,5,20210204,091500,1.55,1.55,1.55,1.55,100,0
BVT,5,20210204,131000,1.52,1.52,1.52,1.52,133,0
BVT,5,20210204,150500,1.53,1.53,1.53,1.53,900,0
BVT,5,20210204,151500,1.57,1.62,1.57,1.62,2500,0
BVT,5,20210204,152000,1.63,1.66,1.63,1.66,1500,0
BVT,5,20210204,164000,1.65,1.66,1.65,1.66,1500,0
BVT,5,20210204,164500,1.66,1.66,1.66,1.66,505,0
BVT,5,20210205,090000,1.66,1.66,1.66,1.66,5,0
BVT,5,20210205,100000,1.53,1.66,1.5,1.66,2595,0
BVT,5,20210205,155500,1.6,1.66,1.6,1.66,2500,0
BVT,5,20210205,163000,1.52,1.52,1.52,1.52,200,0
BVT,5,20210205,164000,1.65,1.65,1.65,1.65,11900,0
BVT,5,20210208,090500,1.66,1.66,1.66,1.66,2000,0
BVT,5,20210208,114000,1.5,1.5,1.5,1.5,670,0
BVT,5,20210208,142500,1.63,1.63,1.63,1.63,115,0
BVT,5,20210208,161000,1.52,1.52,1.52,1.52,1034,0
BVT,5,20210208,162500,1.51,1.51,1.51,1.51,466,0
BVT,5,20210208,163500,1.51,1.51,1.51,1.51,530,0
BVT,5,20210208,164500,1.58,1.58,1.58,1.58,100,0
BVT,5,20210209,090500,1.58,1.61,1.58,1.61,700,0
BVT,5,20210209,091500,1.61,1.64,1.53,1.53,1910,0
BVT,5,20210209,092000,1.52,1.52,1.47,1.47,1000,0
BVT,5,20210209,092500,1.45,1.45,1.4,1.4,2200,0
BVT,5,20210209,094500,1.41,1.41,1.41,1.41,68,0
BVT,5,20210209,100000,1.42,1.42,1.41,1.41,1182,0
BVT,5,20210209,101500,1.4,1.4,1.4,1.4,100,0
BVT,5,20210209,104000,1.36,1.36,1.36,1.36,1800,0
BVT,5,20210209,112500,1.51,1.51,1.51,1.51,60,0
BVT,5,20210209,143500,1.45,1.45,1.45,1.45,1700,0
BVT,5,20210209,160000,1.5,1.5,1.5,1.5,1000,0
BVT,5,20210209,161500,1.4,1.4,1.4,1.4,500,0
BVT,5,20210209,162000,1.4,1.4,1.4,1.4,200,0
BVT,5,20210209,164500,1.4,1.4,1.4,1.4,1800,0
BVT,5,20210210,090000,1.37,1.4,1.2,1.4,7774,0
BVT,5,20210210,091500,1.4,1.43,1.4,1.43,690,0
BVT,5,20210210,092000,1.24,1.44,1.24,1.44,600,0
BVT,5,20210210,114500,1.34,1.4,1.34,1.4,1007,0
BVT,5,20210210,115000,1.4,1.4,1.4,1.4,1562,0
BVT,5,20210210,115500,1.41,1.41,1.41,1.41,760,0
BVT,5,20210210,124000,1.4,1.41,1.4,1.41,750,0
BVT,5,20210210,125500,1.42,1.43,1.42,1.43,1130,0
BVT,5,20210210,152500,1.42,1.42,1.42,1.42,200,0
BVT,5,20210210,154500,1.4,1.42,1.4,1.42,2500,0
BVT,5,20210210,155000,1.42,1.43,1.42,1.43,500,0
BVT,5,20210210,164500,1.43,1.43,1.43,1.43,25,0
BVT,5,20210211,090000,1.29,1.43,1.29,1.43,1197,0
BVT,5,20210212,110500,1.36,1.36,1.36,1.36,10,0
BVT,5,20210212,112000,1.37,1.37,1.37,1.37,90,0
BVT,5,20210212,120000,1.37,1.41,1.37,1.41,1370,0
BVT,5,20210212,131500,1.32,1.32,1.27,1.27,750,0
BVT,5,20210212,142000,1.37,1.37,1.37,1.37,10,0
BVT,5,20210212,145000,1.39,1.4,1.39,1.4,210,0
BVT,5,20210212,155000,1.39,1.4,1.39,1.4,1325,0
BVT,5,20210212,160000,1.4,1.4,1.4,1.4,100,0
BVT,5,20210212,162000,1.43,1.43,1.43,1.43,10,0
BVT,5,20210215,161500,1.36,1.36,1.3,1.3,2010,0
BVT,5,20210215,162000,1.34,1.34,1.34,1.34,80,0
BVT,5,20210216,090000,1.29,1.34,1.2,1.34,3550,0
BVT,5,20210216,090500,1.22,1.22,1.22,1.22,1000,0
BVT,5,20210216,093500,1.29,1.3,1.29,1.3,210,0
BVT,5,20210216,104000,1.21,1.21,1.21,1.21,2000,0
BVT,5,20210216,105000,1.21,1.21,1.2,1.2,90,0
BVT,5,20210216,110000,1.2,1.2,1.2,1.2,2410,0
BVT,5,20210216,112000,1.2,1.27,1.1,1.27,7717,0
BVT,5,20210216,112500,1.23,1.23,1.23,1.23,200,0
BVT,5,20210216,120000,1.22,1.22,1.22,1.22,212,0
BVT,5,20210216,121000,1.15,1.15,1.11,1.11,3000,0
BVT,5,20210216,123000,1.14,1.14,1.11,1.11,2440,0
BVT,5,20210216,130000,1.2,1.22,1.2,1.22,700,0
BVT,5,20210216,133000,1.22,1.23,1.22,1.23,857,0
BVT,5,20210216,135000,1.23,1.23,1.23,1.23,687,0
BVT,5,20210216,135500,1.23,1.23,1.23,1.23,313,0
BVT,5,20210216,140000,1.22,1.22,1.22,1.22,27,0
BVT,5,20210216,140500,1.15,1.15,1.09,1.09,5000,0
BVT,5,20210216,143000,1.1,1.1,1.1,1.1,1000,0
BVT,5,20210216,151500,1.1,1.1,1.05,1.05,10000,0
BVT,5,20210216,152000,1.15,1.15,1.15,1.15,200,0
BVT,5,20210216,153000,1.15,1.15,1.15,1.15,500,0
BVT,5,20210216,162500,1.16,1.21,1.15,1.21,1818,0
BVT,5,20210216,163500,1.21,1.21,1.21,1.21,3,0
BVT,5,20210216,164000,1.19,1.19,1.19,1.19,1000,0
BVT,5,20210217,101000,1.11,1.11,0.99,0.99,10000,0
BVT,5,20210217,105500,1.04,1.04,1.04,1.04,10,0
BVT,5,20210217,111500,1.04,1.04,1.04,1.04,1490,0
BVT,5,20210217,151000,1.09,1.1,1.09,1.1,250,0
BVT,5,20210217,152000,1.09,1.09,1.09,1.09,1500,0
BVT,5,20210217,152500,1.1,1.16,1.1,1.16,6900,0
BVT,5,20210217,164500,1.1,1.1,1.1,1.1,1122,0
BVT,5,20210218,090000,1.15,1.15,1.15,1.15,103,0
BVT,5,20210218,095000,1.15,1.18,1.15,1.18,2500,0
BVT,5,20210218,100000,1.06,1.08,0.96,1.08,9868,0
BVT,5,20210218,132000,1.09,1.1,1.09,1.1,2500,0
BVT,5,20210218,145500,1.1,1.13,1.1,1.13,2000,0
BVT,5,20210219,100000,1.06,1.06,1.02,1.04,1000,0
BVT,5,20210219,105500,1.08,1.08,1.08,1.08,50,0
BVT,5,20210219,120000,1.08,1.08,1.08,1.08,1300,0
BVT,5,20210219,122500,1.04,1.05,1,1.05,3310,0
BVT,5,20210219,132500,1.07,1.08,1.07,1.08,300,0
BVT,5,20210222,092000,1.03,1.03,1.03,1.03,200,0
BVT,5,20210222,101000,1.06,1.06,1.06,1.06,5,0
BVT,5,20210222,142500,1.04,1.04,1.03,1.03,305,0
BVT,5,20210222,153000,1.06,1.07,1.06,1.07,200,0
BVT,5,20210223,092500,1.05,1.05,0.99,0.99,1144,0
BVT,5,20210223,093000,0.99,0.99,0.99,0.99,826,0
BVT,5,20210223,100000,1,1,1,1,10,0
BVT,5,20210223,142000,1.02,1.04,1.02,1.04,800,0
BVT,5,20210224,095500,1.05,1.06,1.05,1.06,211,0
BVT,5,20210224,115500,0.98,0.98,0.96,0.96,1000,0
BVT,5,20210224,122500,1.02,1.06,1.02,1.06,2394,0
BVT,5,20210224,125000,1.05,1.07,1.05,1.07,2515,0
BVT,5,20210224,134000,1.05,1.05,1.05,1.05,1115,0
BVT,5,20210224,143500,1.06,1.09,1.06,1.09,1800,0
BVT,5,20210224,144000,1.09,1.09,1.09,1.09,2000,0
BVT,5,20210224,145500,1.09,1.09,1.09,1.09,70,0
BVT,5,20210224,154500,1.09,1.1,1.09,1.1,800,0
BVT,5,20210224,164500,1.09,1.16,1.09,1.16,5600,0
BVT,5,20210225,091500,1.13,1.16,1.13,1.16,120,0
BVT,5,20210225,101000,1.15,1.15,1.15,1.15,2000,0
BVT,5,20210225,103500,1.15,1.16,1.15,1.16,2250,0
BVT,5,20210225,104000,1.08,1.18,1.07,1.18,5000,0
BVT,5,20210225,104500,1.18,1.18,1.18,1.18,960,0
BVT,5,20210225,163500,1.08,1.08,1.08,1.08,2000,0
BVT,5,20210225,164000,1.16,1.16,1.16,1.16,1,0
BVT,5,20210226,092000,1.05,1.05,1.05,1.05,80,0
BVT,5,20210226,092500,1.05,1.13,1.05,1.13,1265,0
BVT,5,20210226,103000,1.12,1.13,1.12,1.13,500,0
BVT,5,20210301,090000,1.05,1.05,1.04,1.04,1200,0
BVT,5,20210301,091500,1.04,1.04,1.04,1.04,1429,0
BVT,5,20210301,092500,1.1,1.1,1.1,1.1,50,0
BVT,5,20210301,104500,1.04,1.08,1,1.08,1301,0
BVT,5,20210301,105000,1,1.1,1,1.1,4451,0
BVT,5,20210303,090000,1.02,1.02,1.02,1.02,400,0
BVT,5,20210303,100500,1.02,1.02,1.02,1.02,2000,0
BVT,5,20210303,101000,1.02,1.07,1.02,1.07,1000,0
BVT,5,20210303,101500,1.02,1.02,1.02,1.02,100,0
BVT,5,20210303,102000,1.02,1.08,1.02,1.08,1450,0
BVT,5,20210303,124500,1.04,1.04,1.02,1.02,5043,0
BVT,5,20210303,133000,1.07,1.07,1.07,1.07,280,0
BVT,5,20210303,134000,1.02,1.02,1,1,2010,0
BVT,5,20210303,134500,1.07,1.07,1.07,1.07,1000,0
BVT,5,20210303,141500,1.07,1.08,1.07,1.08,1055,0
BVT,5,20210303,145000,1,1,1,1,2142,0
BVT,5,20210303,145500,0.99,0.99,0.99,0.99,1758,0
BVT,5,20210303,150000,1.06,1.08,1.06,1.08,2550,0
BVT,5,20210304,102000,1.01,1.01,1.01,1.01,2000,0
BVT,5,20210304,104500,1.08,1.08,1.08,1.08,45,0
BVT,5,20210305,115000,1.02,1.02,1.02,1.02,965,0
BVT,5,20210305,115500,1.02,1.02,1.02,1.02,2000,0
BVT,5,20210305,120000,1.02,1.08,1.02,1.08,600,0
BVT,5,20210305,164000,1.02,1.02,1.02,1.02,491,0
BVT,5,20210305,164500,1.08,1.08,1.08,1.08,510,0
BVT,5,20210308,100500,1.04,1.04,1.04,1.04,881,0
BVT,5,20210308,101000,1.04,1.07,1.04,1.07,2009,0
BVT,5,20210309,091500,1.07,1.07,1.07,1.07,20,0
BVT,5,20210310,092500,1.07,1.07,1.07,1.07,20,0
BVT,5,20210310,124500,1.02,1.02,0.96,0.96,4188,0
BVT,5,20210310,131500,1.02,1.06,1.02,1.06,2000,0
BVT,5,20210310,134000,1.05,1.06,1.05,1.06,3848,0
BVT,5,20210310,134500,1.06,1.06,1.06,1.06,1152,0
BVT,5,20210310,143000,1.06,1.07,1.06,1.07,850,0
BVT,5,20210311,090000,1.07,1.07,1.07,1.07,20,0
BVT,5,20210311,125000,1.07,1.07,1.07,1.07,300,0
BVT,5,20210311,155000,1.07,1.07,1.07,1.07,4000,0
BVT,5,20210312,095000,1.08,1.08,1.08,1.08,20,0
BVT,5,20210312,161500,1.07,1.1,1.07,1.1,11000,0
BVT,5,20210312,162000,1.1,1.15,1.1,1.15,10000,0
BVT,5,20210315,091000,1.15,1.18,1.15,1.18,1500,0
BVT,5,20210315,091500,1.12,1.17,1.07,1.17,6420,0
BVT,5,20210315,092000,1.18,1.18,1.18,1.18,20,0
BVT,5,20210315,093500,1.07,1.07,1.07,1.07,8000,0
BVT,5,20210315,094000,1.07,1.15,1.07,1.15,1281,0
BVT,5,20210315,100500,1.15,1.17,1.15,1.17,2000,0
BVT,5,20210315,161500,1.17,1.17,1.17,1.17,400,0
BVT,5,20210315,162000,1.12,1.12,1.1,1.1,1510,0
BVT,5,20210315,162500,1.09,1.16,1.09,1.16,500,0
BVT,5,20210316,090500,1.14,1.14,1.14,1.14,5,0
BVT,5,20210316,094500,1.14,1.16,1.14,1.16,2595,0
BVT,5,20210316,095000,1.16,1.16,1.14,1.14,2030,0
BVT,5,20210316,095500,1.14,1.17,1.14,1.14,975,0
BVT,5,20210316,102000,1.14,1.14,1.14,1.14,600,0
BVT,5,20210316,102500,1.14,1.17,1.14,1.17,1230,0
BVT,5,20210316,103000,1.14,1.14,1.07,1.07,24000,0
BVT,5,20210316,103500,1.07,1.17,1.07,1.17,670,0
BVT,5,20210316,111500,1.07,1.07,1.07,1.07,10000,0
BVT,5,20210316,113000,1.14,1.14,1.14,1.14,10,0
BVT,5,20210316,154000,1.06,1.06,1.04,1.04,4165,0
BVT,5,20210316,155500,1.09,1.09,1.09,1.09,5,0
BVT,5,20210316,162500,1.03,1.03,1.02,1.02,2325,0
BVT,5,20210316,163000,1.07,1.07,1.07,1.07,5,0
BVT,5,20210317,090500,1.09,1.1,1.09,1.1,170,0
BVT,5,20210317,121500,1.05,1.05,1.03,1.03,13000,0
BVT,5,20210317,122500,1.08,1.08,1.08,1.08,10,0
BVT,5,20210318,091500,1.08,1.08,1.08,1.08,1690,0
BVT,5,20210318,092000,1.1,1.11,1.1,1.11,200,0
BVT,5,20210318,092500,1.11,1.11,1.11,1.11,200,0
BVT,5,20210318,101500,1.11,1.12,1.11,1.12,2400,0
BVT,5,20210318,155000,1.05,1.07,1,1.07,11005,0
BVT,5,20210318,161500,1.07,1.1,1.07,1.1,2000,0
BVT,5,20210319,090000,1.11,1.11,1.11,1.11,1000,0
BVT,5,20210319,094500,1.1,1.1,1.1,1.1,185,0
BVT,5,20210322,104000,1.1,1.15,1.1,1.15,8250,0
BVT,5,20210322,110000,1.12,1.15,1.12,1.15,2500,0
BVT,5,20210322,162500,1.11,1.11,1.11,1.11,10,0
BVT,5,20210322,163500,1.05,1.1,1.01,1.1,4880,0
BVT,5,20210323,152000,1.01,1.01,1.01,1.01,300,0
BVT,5,20210323,152500,1.01,1.01,0.99,0.99,1320,0
BVT,5,20210323,153000,1,1.01,1,1.01,2400,0
BVT,5,20210323,163500,1.02,1.03,1.02,1.03,3080,0
BVT,5,20210323,164000,1.04,1.04,1.04,1.04,2000,0
BVT,5,20210323,164500,1.05,1.09,1.05,1.09,4820,0
BVT,5,20210324,120000,1.09,1.09,1.09,1.09,10,0
BVT,5,20210326,092000,1.06,1.06,1.06,1.06,20,0
BVT,5,20210326,130000,1.02,1.07,1,1.07,4900,0
