<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LET,5,20210204,091000,2.6,2.6,2.6,2.6,48,0
LET,5,20210204,092000,2.6,2.6,2.6,2.6,84,0
LET,5,20210204,094500,2.62,2.62,2.62,2.62,1000,0
LET,5,20210204,102000,2.62,2.62,2.62,2.62,50,0
LET,5,20210204,112000,2.56,2.56,2.56,2.56,1000,0
LET,5,20210204,114000,2.64,2.64,2.64,2.64,188,0
LET,5,20210204,132500,2.62,2.62,2.62,2.62,1905,0
LET,5,20210204,142500,2.56,2.6,2.56,2.6,1500,0
LET,5,20210204,164500,2.64,2.64,2.64,2.64,1001,0
LET,5,20210205,090000,2.64,2.74,2.64,2.74,2957,0
LET,5,20210205,090500,2.74,2.74,2.74,2.74,1446,0
LET,5,20210205,091000,2.74,2.74,2.74,2.74,516,0
LET,5,20210205,091500,2.76,2.76,2.76,2.76,484,0
LET,5,20210205,092000,2.78,2.78,2.78,2.78,200,0
LET,5,20210205,093500,2.7,2.72,2.7,2.72,1000,0
LET,5,20210205,094500,2.78,2.78,2.78,2.78,379,0
LET,5,20210205,095000,2.78,2.78,2.78,2.78,51,0
LET,5,20210205,100500,2.72,2.72,2.72,2.72,500,0
LET,5,20210205,111500,2.72,2.72,2.64,2.64,430,0
LET,5,20210205,112000,2.78,2.78,2.78,2.78,50,0
LET,5,20210205,114000,2.78,2.78,2.78,2.78,20,0
LET,5,20210205,143500,2.72,2.72,2.72,2.72,891,0
LET,5,20210205,144000,2.64,2.64,2.64,2.64,36,0
LET,5,20210205,150000,2.64,2.64,2.64,2.64,232,0
LET,5,20210205,164500,2.72,2.72,2.72,2.72,100,0
LET,5,20210208,103500,2.64,2.64,2.64,2.64,1852,0
LET,5,20210208,125000,2.64,2.64,2.64,2.64,150,0
LET,5,20210208,131500,2.74,2.74,2.74,2.74,200,0
LET,5,20210208,140500,2.64,2.64,2.64,2.64,350,0
LET,5,20210208,141000,2.62,2.62,2.62,2.62,384,0
LET,5,20210208,141500,2.6,2.6,2.58,2.58,1360,0
LET,5,20210208,155500,2.58,2.58,2.58,2.58,16,0
LET,5,20210208,162500,2.66,2.66,2.66,2.66,250,0
LET,5,20210209,091000,2.62,2.62,2.62,2.62,384,0
LET,5,20210209,092500,2.58,2.58,2.58,2.58,136,0
LET,5,20210209,100500,2.58,2.58,2.58,2.58,300,0
LET,5,20210209,101000,2.58,2.58,2.56,2.56,2934,0
LET,5,20210209,110000,2.66,2.66,2.66,2.66,2,0
LET,5,20210209,120500,2.5,2.5,2.5,2.5,552,0
LET,5,20210209,121000,2.66,2.66,2.66,2.66,1,0
LET,5,20210209,122000,2.5,2.5,2.5,2.5,10,0
LET,5,20210209,144500,2.66,2.66,2.66,2.66,515,0
LET,5,20210209,164500,2.62,2.66,2.62,2.66,376,0
LET,5,20210210,090000,2.66,2.66,2.66,2.66,400,0
LET,5,20210210,110000,2.52,2.52,2.52,2.52,600,0
LET,5,20210210,151500,2.52,2.52,2.52,2.52,110,0
LET,5,20210210,155500,2.6,2.6,2.6,2.6,50,0
LET,5,20210210,164500,2.52,2.52,2.52,2.52,1134,0
LET,5,20210211,090000,2.6,2.6,2.6,2.6,380,0
LET,5,20210211,091500,2.52,2.52,2.52,2.52,70,0
LET,5,20210211,092500,2.52,2.52,2.52,2.52,436,0
LET,5,20210211,093000,2.52,2.52,2.52,2.52,301,0
LET,5,20210211,093500,2.5,2.66,2.5,2.66,136,0
LET,5,20210211,101000,2.5,2.5,2.5,2.5,100,0
LET,5,20210211,102000,2.52,2.52,2.52,2.52,100,0
LET,5,20210211,110500,2.52,2.52,2.52,2.52,400,0
LET,5,20210211,131000,2.66,2.66,2.66,2.66,120,0
LET,5,20210211,153000,2.52,2.52,2.52,2.52,500,0
LET,5,20210211,162500,2.66,2.68,2.66,2.68,1143,0
LET,5,20210211,163000,2.7,2.7,2.7,2.7,5100,0
LET,5,20210211,163500,2.76,2.78,2.76,2.78,1511,0
LET,5,20210211,164500,2.78,2.78,2.78,2.78,2080,0
LET,5,20210212,091000,2.76,2.76,2.76,2.76,1000,0
LET,5,20210212,094000,2.72,2.72,2.72,2.72,1650,0
LET,5,20210212,102000,2.72,2.72,2.72,2.72,117,0
LET,5,20210212,104500,2.72,2.72,2.72,2.72,500,0
LET,5,20210212,105000,2.72,2.72,2.72,2.72,89,0
LET,5,20210212,105500,2.72,2.72,2.72,2.72,195,0
LET,5,20210212,140000,2.72,2.76,2.72,2.76,185,0
LET,5,20210212,153500,2.7,2.7,2.7,2.7,110,0
LET,5,20210212,163000,2.62,2.62,2.6,2.6,2645,0
LET,5,20210212,164500,2.6,2.6,2.6,2.6,462,0
LET,5,20210215,090500,2.66,2.66,2.66,2.66,40,0
LET,5,20210215,091500,2.54,2.54,2.54,2.54,250,0
LET,5,20210215,095000,2.54,2.54,2.5,2.5,1500,0
LET,5,20210215,100000,2.5,2.5,2.5,2.5,7128,0
LET,5,20210215,100500,2.48,2.48,2.48,2.48,515,0
LET,5,20210215,102500,2.48,2.48,2.48,2.48,352,0
LET,5,20210215,103500,2.46,2.46,2.46,2.46,500,0
LET,5,20210215,105000,2.46,2.5,2.46,2.5,1160,0
LET,5,20210215,120500,2.5,2.5,2.5,2.5,800,0
LET,5,20210215,141500,2.5,2.5,2.5,2.5,3000,0
LET,5,20210215,142500,2.48,2.48,2.48,2.48,211,0
LET,5,20210215,163500,2.48,2.48,2.48,2.48,1600,0
LET,5,20210216,092000,2.5,2.5,2.5,2.5,1994,0
LET,5,20210216,094000,2.48,2.48,2.48,2.48,607,0
LET,5,20210216,094500,2.42,2.42,2.42,2.42,188,0
LET,5,20210216,095500,2.46,2.46,2.46,2.46,200,0
LET,5,20210216,103500,2.42,2.42,2.4,2.4,1500,0
LET,5,20210216,110000,2.46,2.46,2.46,2.46,500,0
LET,5,20210216,120500,2.4,2.4,2.4,2.4,63,0
LET,5,20210216,121000,2.4,2.4,2.4,2.4,2325,0
LET,5,20210216,122500,2.4,2.4,2.4,2.4,500,0
LET,5,20210216,125000,2.38,2.38,2.38,2.38,500,0
LET,5,20210216,130500,2.4,2.4,2.4,2.4,1000,0
LET,5,20210216,140000,2.4,2.4,2.4,2.4,700,0
LET,5,20210216,142000,2.38,2.38,2.38,2.38,50,0
LET,5,20210216,145000,2.38,2.38,2.38,2.38,1614,0
LET,5,20210216,145500,2.38,2.38,2.38,2.38,107,0
LET,5,20210216,150500,2.38,2.38,2.38,2.38,60,0
LET,5,20210216,153500,2.38,2.52,2.38,2.52,1031,0
LET,5,20210217,121000,2.38,2.38,2.32,2.32,2412,0
LET,5,20210217,121500,2.36,2.36,2.36,2.36,426,0
LET,5,20210217,130500,2.42,2.42,2.42,2.42,150,0
LET,5,20210217,132500,2.36,2.36,2.36,2.36,201,0
LET,5,20210217,151500,2.4,2.46,2.4,2.46,1155,0
LET,5,20210217,162000,2.46,2.52,2.46,2.52,568,0
LET,5,20210217,162500,2.46,2.46,2.46,2.46,36,0
LET,5,20210218,090000,2.46,2.46,2.46,2.46,100,0
LET,5,20210218,102500,2.42,2.42,2.42,2.42,703,0
LET,5,20210218,111000,2.42,2.42,2.42,2.42,200,0
LET,5,20210218,135500,2.44,2.44,2.44,2.44,6000,0
LET,5,20210218,161500,2.42,2.42,2.3,2.3,4139,0
LET,5,20210218,163000,2.3,2.3,2.3,2.3,1861,0
LET,5,20210218,163500,2.4,2.4,2.24,2.4,1357,0
LET,5,20210218,164500,2.3,2.3,2.3,2.3,89,0
LET,5,20210219,092500,2.3,2.3,2.04,2.12,9659,0
LET,5,20210219,093000,2.06,2.16,2,2.16,2395,0
LET,5,20210219,093500,2.16,2.24,2.16,2.24,2712,0
LET,5,20210219,094500,2.22,2.22,2.22,2.22,100,0
LET,5,20210219,095000,2.22,2.24,2.22,2.24,1344,0
LET,5,20210219,100000,2.24,2.24,2.24,2.24,475,0
LET,5,20210219,102000,2.2,2.2,2.2,2.2,300,0
LET,5,20210219,105000,2.2,2.2,2.2,2.2,525,0
LET,5,20210219,110000,2.22,2.22,2.22,2.22,500,0
LET,5,20210219,113500,2.22,2.22,2.22,2.22,539,0
LET,5,20210219,125000,2.24,2.24,2.24,2.24,400,0
LET,5,20210219,125500,2.24,2.24,2.24,2.24,450,0
LET,5,20210219,130000,2.28,2.28,2.28,2.28,175,0
LET,5,20210219,130500,2.28,2.28,2.28,2.28,615,0
LET,5,20210219,133500,2.28,2.4,2.28,2.4,655,0
LET,5,20210219,134000,2.4,2.4,2.4,2.4,143,0
LET,5,20210219,134500,2.34,2.34,2.34,2.34,385,0
LET,5,20210219,135000,2.28,2.28,2.28,2.28,300,0
LET,5,20210219,152000,2.26,2.26,2.24,2.24,362,0
LET,5,20210219,163000,2.32,2.32,2.32,2.32,40,0
LET,5,20210219,164000,2.32,2.4,2.32,2.4,435,0
LET,5,20210222,090000,2.26,2.26,2.26,2.26,975,0
LET,5,20210222,094000,2.38,2.38,2.38,2.38,315,0
LET,5,20210222,094500,2.4,2.42,2.4,2.42,951,0
LET,5,20210222,100500,2.4,2.4,2.36,2.36,1115,0
LET,5,20210222,122500,2.42,2.42,2.42,2.42,185,0
LET,5,20210222,132000,2.42,2.42,2.42,2.42,150,0
LET,5,20210222,132500,2.42,2.42,2.42,2.42,6,0
LET,5,20210222,161500,2.36,2.36,2.34,2.34,1240,0
LET,5,20210222,162000,2.4,2.4,2.4,2.4,50,0
LET,5,20210223,104500,2.4,2.4,2.4,2.4,33,0
LET,5,20210223,120500,2.3,2.3,2.3,2.3,7,0
LET,5,20210223,141500,2.32,2.32,2.32,2.32,210,0
LET,5,20210223,143000,2.4,2.4,2.4,2.4,500,0
LET,5,20210223,144000,2.4,2.4,2.4,2.4,163,0
LET,5,20210223,150500,2.32,2.32,2.32,2.32,5,0
LET,5,20210223,162000,2.32,2.32,2.32,2.32,216,0
LET,5,20210224,092000,2.32,2.32,2.26,2.26,200,0
LET,5,20210224,100500,2.26,2.26,2.26,2.26,1000,0
LET,5,20210224,102500,2.3,2.3,2.3,2.3,435,0
LET,5,20210224,105000,2.3,2.3,2.3,2.3,50,0
LET,5,20210224,110500,2.3,2.3,2.3,2.3,2228,0
LET,5,20210224,114000,2.3,2.3,2.3,2.3,572,0
LET,5,20210224,123500,2.26,2.26,2.26,2.26,1350,0
LET,5,20210224,140000,2.34,2.34,2.34,2.34,200,0
LET,5,20210224,143000,2.26,2.26,2.24,2.24,4430,0
LET,5,20210224,143500,2.24,2.24,2.24,2.24,585,0
LET,5,20210224,144500,2.24,2.24,2.24,2.24,985,0
LET,5,20210225,104500,2.28,2.3,2.28,2.3,500,0
LET,5,20210225,111000,2.3,2.3,2.3,2.3,452,0
LET,5,20210225,111500,2.4,2.4,2.4,2.4,3,0
LET,5,20210225,112000,2.4,2.4,2.4,2.4,10,0
LET,5,20210225,112500,2.4,2.4,2.4,2.4,20,0
LET,5,20210225,115500,2.34,2.34,2.34,2.34,22,0
LET,5,20210225,122000,2.3,2.3,2.3,2.3,7,0
LET,5,20210225,141500,2.26,2.26,2.2,2.2,4274,0
LET,5,20210225,143000,2.2,2.2,2.2,2.2,270,0
LET,5,20210225,144500,2.2,2.2,2.2,2.2,100,0
LET,5,20210225,145000,2.2,2.2,2.2,2.2,310,0
LET,5,20210225,152500,2.18,2.18,2.18,2.18,100,0
LET,5,20210225,163000,2.2,2.2,2.2,2.2,620,0
LET,5,20210225,163500,2.2,2.2,2.2,2.2,3200,0
LET,5,20210225,164000,2.2,2.2,2.2,2.2,1100,0
LET,5,20210225,164500,2.2,2.3,2.2,2.3,266,0
LET,5,20210226,095500,2.16,2.16,2.14,2.14,1111,0
LET,5,20210226,100000,2.16,2.16,2.16,2.16,255,0
LET,5,20210226,112000,2.26,2.38,2.26,2.38,484,0
LET,5,20210226,115000,2.24,2.24,2.24,2.24,310,0
LET,5,20210226,130500,2.24,2.24,2.24,2.24,137,0
LET,5,20210226,160000,2.26,2.26,2.26,2.26,109,0
LET,5,20210226,161000,2.26,2.26,2.26,2.26,445,0
LET,5,20210226,164500,2.36,2.38,2.36,2.38,1300,0
LET,5,20210301,095000,2.24,2.24,2.24,2.24,400,0
LET,5,20210301,120500,2.24,2.24,2.24,2.24,1347,0
LET,5,20210301,132000,2.3,2.3,2.3,2.3,1,0
LET,5,20210301,153500,2.3,2.3,2.3,2.3,100,0
LET,5,20210301,161000,2.24,2.24,2.24,2.24,500,0
LET,5,20210302,095500,2.2,2.2,2.2,2.2,653,0
LET,5,20210302,100500,2.2,2.2,2.16,2.16,1475,0
LET,5,20210302,113500,2.3,2.3,2.3,2.3,100,0
LET,5,20210302,115500,2.24,2.3,2.24,2.3,105,0
LET,5,20210302,121000,2.18,2.18,2.18,2.18,220,0
LET,5,20210302,132500,2.3,2.3,2.3,2.3,233,0
LET,5,20210302,142000,2.3,2.3,2.3,2.3,200,0
LET,5,20210303,110500,2.2,2.2,2.2,2.2,1304,0
LET,5,20210303,113000,2.26,2.26,2.26,2.26,1000,0
LET,5,20210303,130500,2.28,2.28,2.28,2.28,16,0
LET,5,20210303,164000,2.18,2.18,2.18,2.18,687,0
LET,5,20210304,090000,2.18,2.18,2.14,2.18,2017,0
LET,5,20210304,090500,2.18,2.18,2.18,2.18,191,0
LET,5,20210304,092000,2.18,2.18,2.18,2.18,300,0
LET,5,20210304,095000,2.18,2.18,2.14,2.14,2615,0
LET,5,20210304,111500,2.28,2.28,2.28,2.28,220,0
LET,5,20210304,120000,2.28,2.28,2.28,2.28,230,0
LET,5,20210304,124500,2.28,2.28,2.28,2.28,300,0
LET,5,20210304,152000,2.28,2.28,2.28,2.28,50,0
LET,5,20210304,164000,2.2,2.2,2.2,2.2,82,0
LET,5,20210305,091000,2.18,2.18,2.12,2.12,5490,0
LET,5,20210305,092000,2.18,2.18,2.18,2.18,470,0
LET,5,20210305,093000,2.18,2.28,2.18,2.28,1230,0
LET,5,20210305,102000,2.28,2.28,2.28,2.28,500,0
LET,5,20210305,150000,2.2,2.2,2.2,2.2,200,0
LET,5,20210305,164500,2.28,2.28,2.28,2.28,300,0
LET,5,20210308,092500,2.28,2.28,2.28,2.28,103,0
LET,5,20210308,104000,2.26,2.26,2.26,2.26,20,0
LET,5,20210308,115000,2.26,2.26,2.2,2.2,400,0
LET,5,20210308,133000,2.2,2.2,2.2,2.2,855,0
LET,5,20210308,133500,2.2,2.2,2.2,2.2,1145,0
LET,5,20210308,143500,2.2,2.28,2.14,2.28,2470,0
LET,5,20210308,150000,2.2,2.2,2.2,2.2,200,0
LET,5,20210308,151500,2.2,2.2,2.2,2.2,350,0
LET,5,20210308,153500,2.2,2.2,2.2,2.2,500,0
LET,5,20210308,154000,2.2,2.2,2.2,2.2,500,0
LET,5,20210308,164500,2.2,2.28,2.2,2.28,785,0
LET,5,20210309,095000,2.16,2.16,2.16,2.16,233,0
LET,5,20210309,113000,2.16,2.16,2.16,2.16,1600,0
LET,5,20210309,114000,2.16,2.16,2.14,2.16,3200,0
LET,5,20210309,114500,2.18,2.26,2.18,2.26,470,0
LET,5,20210309,120500,2.16,2.16,2.16,2.16,867,0
LET,5,20210309,121000,2.16,2.16,2.16,2.16,1133,0
LET,5,20210309,124500,2.16,2.16,2.16,2.16,100,0
LET,5,20210309,153500,2.16,2.16,2.16,2.16,2000,0
LET,5,20210309,161000,2.26,2.26,2.26,2.26,500,0
LET,5,20210309,165500,2.26,2.26,2.26,2.26,572,0
LET,5,20210310,090000,2.34,2.38,2.34,2.38,7976,0
LET,5,20210310,090500,2.4,2.52,2.4,2.52,8798,0
LET,5,20210310,091000,2.52,2.72,2.52,2.72,24395,0
LET,5,20210310,091500,2.72,2.78,2.54,2.76,13136,0
LET,5,20210310,092000,2.76,2.8,2.62,2.8,20493,0
LET,5,20210310,093000,2.92,3.34,2.92,3.34,24550,0
LET,5,20210310,093500,3.2,3.3,3,3,12997,0
LET,5,20210310,094000,3,3,3,3,610,0
LET,5,20210310,094500,3.14,3.18,3.14,3.18,2295,0
LET,5,20210310,095000,3.14,3.18,3.14,3.18,856,0
LET,5,20210310,095500,3.18,3.18,3,3,4213,0
LET,5,20210310,100000,3,3,3,3,423,0
LET,5,20210310,101000,3,3,3,3,315,0
LET,5,20210310,101500,3,3,3,3,430,0
LET,5,20210310,102000,2.96,2.96,2.9,2.9,1900,0
LET,5,20210310,102500,2.9,3,2.9,3,4249,0
LET,5,20210310,103000,3.02,3.18,3.02,3.06,4322,0
LET,5,20210310,103500,3.1,3.2,3.1,3.18,1536,0
LET,5,20210310,104000,3.18,3.18,3.06,3.06,1083,0
LET,5,20210310,104500,3.18,3.18,3.18,3.18,1188,0
LET,5,20210310,105000,3.12,3.18,3,3,3663,0
LET,5,20210310,105500,2.96,3.06,2.9,3.06,13135,0
LET,5,20210310,110000,3.12,3.14,3,3.14,1247,0
LET,5,20210310,110500,3.12,3.12,3.12,3.12,250,0
LET,5,20210310,111000,3.12,3.14,3.12,3.14,2323,0
LET,5,20210310,111500,3.14,3.14,3.02,3.14,2312,0
LET,5,20210310,112000,3.14,3.14,3.14,3.14,1032,0
LET,5,20210310,112500,3.14,3.14,3.14,3.14,250,0
LET,5,20210310,113000,3.02,3.02,3,3,2309,0
LET,5,20210310,113500,3.06,3.06,3.06,3.06,100,0
LET,5,20210310,114000,3,3.02,2.9,2.9,2700,0
LET,5,20210310,114500,2.9,2.9,2.8,2.8,3050,0
LET,5,20210310,120000,3,3.04,3,3.04,3630,0
LET,5,20210310,120500,3.04,3.04,3.04,3.04,171,0
LET,5,20210310,121000,3.04,3.04,3.04,3.04,300,0
LET,5,20210310,121500,3.04,3.04,3.04,3.04,220,0
LET,5,20210310,123000,3.02,3.02,3.02,3.02,200,0
LET,5,20210310,123500,3.02,3.02,2.84,2.84,400,0
LET,5,20210310,124000,3.04,3.04,3.04,3.04,945,0
LET,5,20210310,130000,3.02,3.02,3.02,3.02,65,0
LET,5,20210310,132000,3,3,2.86,2.86,1899,0
LET,5,20210310,132500,2.86,2.86,2.86,2.86,1603,0
LET,5,20210310,134000,2.86,2.86,2.86,2.86,200,0
LET,5,20210310,134500,2.84,2.84,2.84,2.84,985,0
LET,5,20210310,135500,2.84,2.84,2.84,2.84,609,0
LET,5,20210310,140000,2.88,2.94,2.88,2.94,447,0
LET,5,20210310,141000,2.88,2.88,2.88,2.88,1000,0
LET,5,20210310,144500,2.88,2.88,2.88,2.88,500,0
LET,5,20210310,145000,2.88,2.88,2.8,2.8,1329,0
LET,5,20210310,150000,2.9,2.9,2.9,2.9,30,0
LET,5,20210310,152000,2.9,2.9,2.9,2.9,500,0
LET,5,20210310,152500,2.9,2.9,2.9,2.9,200,0
LET,5,20210310,154000,2.8,2.8,2.8,2.8,1300,0
LET,5,20210310,154500,2.8,2.9,2.72,2.72,1137,0
LET,5,20210310,155000,2.72,2.9,2.68,2.68,3016,0
LET,5,20210310,160000,2.64,2.64,2.64,2.64,225,0
LET,5,20210310,162000,2.66,2.66,2.66,2.66,99,0
LET,5,20210310,162500,2.74,2.74,2.74,2.74,630,0
LET,5,20210310,163000,2.74,2.88,2.74,2.88,1678,0
LET,5,20210310,163500,2.86,2.88,2.86,2.88,942,0
LET,5,20210310,164000,2.88,2.88,2.88,2.88,687,0
LET,5,20210311,090000,2.72,2.72,2.72,2.72,1500,0
LET,5,20210311,091500,2.86,2.86,2.86,2.86,530,0
LET,5,20210311,092000,2.86,2.86,2.86,2.86,50,0
LET,5,20210311,092500,2.8,2.8,2.8,2.8,70,0
LET,5,20210311,093000,2.74,2.74,2.72,2.72,1443,0
LET,5,20210311,095500,2.74,2.74,2.72,2.72,250,0
LET,5,20210311,103000,2.72,2.72,2.72,2.72,2222,0
LET,5,20210311,111000,2.72,2.72,2.72,2.72,248,0
LET,5,20210311,112000,2.68,2.68,2.68,2.68,50,0
LET,5,20210311,112500,2.62,2.62,2.62,2.62,247,0
LET,5,20210311,120000,2.62,2.62,2.62,2.62,553,0
LET,5,20210311,122000,2.6,2.6,2.58,2.58,2135,0
LET,5,20210311,123000,2.58,2.58,2.44,2.44,4200,0
LET,5,20210311,123500,2.46,2.46,2.46,2.46,500,0
LET,5,20210311,124000,2.58,2.58,2.58,2.58,400,0
LET,5,20210311,124500,2.46,2.66,2.46,2.66,2123,0
LET,5,20210311,125000,2.62,2.62,2.62,2.62,470,0
LET,5,20210311,125500,2.62,2.62,2.62,2.62,30,0
LET,5,20210311,130500,2.62,2.62,2.62,2.62,370,0
