<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELM,5,20210204,093000,1.35,1.45,1.35,1.45,172,0
ELM,5,20210205,093500,1.46,1.46,1.46,1.46,10,0
ELM,5,20210205,153000,1.33,1.33,1.33,1.33,100,0
ELM,5,20210209,095000,1.33,1.33,1.25,1.25,1088,0
ELM,5,20210209,101000,1.29,1.31,1.29,1.31,300,0
ELM,5,20210210,095500,1.21,1.21,1.21,1.21,950,0
ELM,5,20210210,120000,1.32,1.32,1.32,1.32,50,0
ELM,5,20210212,092000,1.32,1.32,1.32,1.32,10,0
ELM,5,20210215,094500,1.32,1.32,1.32,1.32,10,0
ELM,5,20210216,090000,1.12,1.12,1.12,1.12,3094,0
ELM,5,20210216,094500,1.13,1.13,1.11,1.11,750,0
ELM,5,20210216,095000,1.09,1.09,1.03,1.03,1250,0
ELM,5,20210216,112000,1.2,1.21,1.2,1.21,550,0
ELM,5,20210216,120000,1.2,1.23,1.2,1.23,500,0
ELM,5,20210216,121000,1.2,1.2,1.2,1.2,950,0
ELM,5,20210216,164500,1.16,1.16,1.15,1.15,1680,0
ELM,5,20210217,090000,1.2,1.2,1.2,1.2,11,0
ELM,5,20210217,140500,1.2,1.2,1.2,1.2,1089,0
ELM,5,20210217,141000,1.25,1.25,1.25,1.25,100,0
ELM,5,20210217,141500,1.25,1.25,1.25,1.25,100,0
ELM,5,20210217,142000,1.25,1.28,1.25,1.28,500,0
ELM,5,20210217,144000,1.25,1.25,1.25,1.25,500,0
ELM,5,20210217,144500,1.25,1.25,1.25,1.25,200,0
ELM,5,20210217,153000,1.25,1.27,1.25,1.27,1300,0
ELM,5,20210217,164500,1.2,1.2,1.2,1.2,100,0
ELM,5,20210218,110000,1.2,1.2,1.2,1.2,100,0
ELM,5,20210218,110500,1.3,1.3,1.3,1.3,111,0
ELM,5,20210218,144500,1.2,1.2,1.2,1.2,2300,0
ELM,5,20210218,153000,1.29,1.29,1.29,1.29,100,0
ELM,5,20210218,161500,1.2,1.24,1.2,1.24,1700,0
ELM,5,20210218,162000,1.29,1.29,1.29,1.29,200,0
ELM,5,20210219,094000,1.25,1.25,1.25,1.25,10,0
ELM,5,20210219,151500,1.16,1.21,1.16,1.21,200,0
ELM,5,20210222,092500,1.12,1.19,1.12,1.19,350,0
ELM,5,20210223,101000,1.09,1.09,1.06,1.06,3808,0
ELM,5,20210223,101500,1.14,1.14,1.08,1.08,760,0
ELM,5,20210223,103500,1.03,1.03,1.03,1.03,3533,0
ELM,5,20210223,144500,1.12,1.12,1.12,1.12,500,0
ELM,5,20210224,100000,1.12,1.12,1.12,1.12,10,0
ELM,5,20210224,135000,1.1,1.1,1.02,1.02,4500,0
ELM,5,20210224,140500,1.08,1.08,1.08,1.08,40,0
ELM,5,20210224,142000,1.08,1.1,1.08,1.1,150,0
ELM,5,20210225,092000,1.11,1.11,1.11,1.11,10,0
ELM,5,20210225,120000,1.03,1.03,1.01,1.01,1569,0
ELM,5,20210226,093500,1.03,1.03,1.03,1.03,100,0
ELM,5,20210226,132000,1.08,1.08,1.08,1.08,5,0
ELM,5,20210226,132500,1.08,1.09,1.08,1.09,111,0
ELM,5,20210301,093500,1.08,1.08,1.08,1.08,10,0
ELM,5,20210301,131000,1.04,1.04,1.04,1.04,40,0
ELM,5,20210302,100500,1.05,1.05,1.05,1.05,170,0
ELM,5,20210302,125500,1.04,1.04,1.04,1.04,474,0
ELM,5,20210302,162500,1.06,1.06,1.06,1.06,516,0
ELM,5,20210303,091500,1.07,1.07,1.07,1.07,10,0
ELM,5,20210303,095000,1.07,1.07,1.07,1.07,1672,0
ELM,5,20210303,103500,1.07,1.07,0.995,0.995,6925,0
ELM,5,20210303,104000,0.99,0.99,0.91,0.91,6359,0
ELM,5,20210303,112500,0.95,0.95,0.95,0.95,105,0
ELM,5,20210303,143500,0.99,1.03,0.98,1.03,745,0
ELM,5,20210304,155500,1.05,1.06,1.05,1.06,102,0
ELM,5,20210305,113000,0.97,0.97,0.94,0.94,9253,0
ELM,5,20210305,113500,0.92,0.92,0.92,0.92,747,0
ELM,5,20210305,123500,0.97,0.97,0.97,0.97,1045,0
ELM,5,20210305,145500,1,1,1,1,2,0
ELM,5,20210305,151500,1,1,1,1,800,0
ELM,5,20210305,153000,1,1.02,1,1.02,200,0
ELM,5,20210305,163000,1.01,1.01,1.01,1.01,2000,0
ELM,5,20210308,101500,0.97,0.97,0.91,0.91,8500,0
ELM,5,20210308,111000,0.96,0.96,0.96,0.96,1055,0
ELM,5,20210308,124500,0.99,1,0.99,1,4000,0
ELM,5,20210308,125000,1,1.09,1,1.09,3944,0
ELM,5,20210309,093500,1.09,1.09,1.09,1.09,10,0
ELM,5,20210309,155000,1.02,1.02,0.92,0.92,10000,0
ELM,5,20210309,155500,1.08,1.08,1.08,1.08,15,0
ELM,5,20210310,095000,1.06,1.06,1.06,1.06,10,0
ELM,5,20210310,153000,1.03,1.04,1.03,1.04,5490,0
ELM,5,20210310,153500,1.08,1.14,1.08,1.14,152,0
ELM,5,20210310,154000,1.14,1.14,1.14,1.14,2907,0
ELM,5,20210310,154500,1.15,1.2,1.15,1.2,3000,0
ELM,5,20210310,155500,1.2,1.2,1.2,1.2,3098,0
ELM,5,20210310,164500,1.09,1.2,1.08,1.2,961,0
ELM,5,20210311,093500,1.21,1.21,1.21,1.21,20,0
ELM,5,20210311,133000,1.1,1.1,0.98,0.98,3240,0
ELM,5,20210311,133500,0.99,0.99,0.99,0.99,4411,0
ELM,5,20210311,134000,1,1,0.995,0.995,840,0
ELM,5,20210311,140000,1.08,1.14,1.08,1.14,2700,0
ELM,5,20210311,141500,1.15,1.15,1.15,1.15,300,0
ELM,5,20210311,142000,1.15,1.15,1.15,1.15,2000,0
ELM,5,20210312,093500,1.13,1.13,1.13,1.13,880,0
ELM,5,20210315,094000,1.13,1.13,1.13,1.13,10,0
ELM,5,20210315,124500,1.13,1.13,1.13,1.13,1,0
ELM,5,20210315,154000,1.12,1.12,1.12,1.12,190,0
ELM,5,20210316,104500,1.13,1.13,1.13,1.13,10,0
ELM,5,20210317,091000,1.13,1.13,1.13,1.13,10,0
ELM,5,20210317,143500,1.05,1.05,1.02,1.02,1111,0
ELM,5,20210317,151000,1.02,1.02,1.02,1.02,1297,0
ELM,5,20210317,151500,0.985,0.985,0.985,0.985,2548,0
ELM,5,20210317,152000,1.11,1.11,1.11,1.11,2,0
ELM,5,20210318,131500,1.1,1.14,1.1,1.14,1500,0
ELM,5,20210318,152500,1.13,1.13,1.13,1.13,100,0
ELM,5,20210319,101500,1.13,1.13,1.13,1.13,10,0
ELM,5,20210322,103000,1.13,1.13,1.13,1.13,10,0
ELM,5,20210322,113000,1.04,1.04,1,1,1395,0
ELM,5,20210322,120500,1,1,0.985,0.985,1124,0
ELM,5,20210322,121000,0.985,0.985,0.98,0.98,2079,0
ELM,5,20210322,121500,1.04,1.12,1.04,1.12,500,0
ELM,5,20210323,095000,1.09,1.09,1.09,1.09,30,0
ELM,5,20210324,094500,1.09,1.09,1.09,1.09,10,0
ELM,5,20210325,092500,1.1,1.1,1.1,1.1,10,0
ELM,5,20210326,101500,1.1,1.1,1.1,1.1,10,0
ELM,5,20210326,155000,1.1,1.1,1.1,1.1,2000,0
