<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGP,5,20210204,100500,5.05,5.05,5.05,5.05,50,0
AGP,5,20210204,164500,5.3,5.3,5.3,5.3,10,0
AGP,5,20210205,150500,5.2,5.2,5.2,5.2,280,0
AGP,5,20210208,095000,5.3,5.3,5.3,5.3,380,0
AGP,5,20210208,105000,5.3,5.3,5.3,5.3,150,0
AGP,5,20210208,111000,5.55,5.55,5.55,5.55,361,0
AGP,5,20210208,130000,5.5,5.5,5.5,5.5,364,0
AGP,5,20210208,131500,5.3,5.3,5.3,5.3,378,0
AGP,5,20210208,133000,5.3,5.3,5.3,5.3,450,0
AGP,5,20210208,161000,5.35,5.35,5.35,5.35,130,0
AGP,5,20210209,110500,5.45,5.45,5.45,5.45,182,0
AGP,5,20210209,125000,5.2,5.2,5.2,5.2,46,0
AGP,5,20210209,132000,5.2,5.2,5.2,5.2,1385,0
AGP,5,20210209,164500,5.25,5.25,5.25,5.25,200,0
AGP,5,20210210,114500,5.2,5.2,5.2,5.2,140,0
AGP,5,20210210,154000,5.2,5.2,5.2,5.2,130,0
AGP,5,20210211,140500,5.25,5.25,5.25,5.25,667,0
AGP,5,20210211,152500,5.25,5.25,5.25,5.25,381,0
AGP,5,20210211,163000,5.25,5.25,5.25,5.25,380,0
AGP,5,20210212,094500,5.25,6.3,5.25,6.3,382,0
AGP,5,20210212,112000,5.3,5.3,5.3,5.3,60,0
AGP,5,20210212,112500,5.25,5.3,5.25,5.3,600,0
AGP,5,20210212,143000,5.25,5.25,5.25,5.25,150,0
AGP,5,20210215,090000,5.35,5.35,5.35,5.35,381,0
AGP,5,20210215,093500,5.5,5.5,5.5,5.5,340,0
AGP,5,20210215,101000,5.45,5.45,5.45,5.45,367,0
AGP,5,20210215,102500,5.4,5.4,5.4,5.4,371,0
AGP,5,20210216,102500,5.15,5.15,5.15,5.15,229,0
AGP,5,20210217,094500,5.1,5.1,5.1,5.1,200,0
AGP,5,20210218,090000,5.65,5.65,5.65,5.65,100,0
AGP,5,20210218,091000,5.5,5.5,5.5,5.5,364,0
AGP,5,20210218,104500,5.5,5.5,5.5,5.5,370,0
AGP,5,20210218,111500,5.4,5.4,5.4,5.4,371,0
AGP,5,20210218,121500,5.15,5.15,5.15,5.15,259,0
AGP,5,20210218,124000,5.3,5.3,5.3,5.3,242,0
AGP,5,20210219,090000,5.1,5.1,5.1,5.1,189,0
AGP,5,20210219,115000,5.1,5.1,5.1,5.1,389,0
AGP,5,20210219,134000,5.1,5.1,5.1,5.1,222,0
AGP,5,20210222,162000,5.1,5.1,5.1,5.1,287,0
AGP,5,20210224,101000,5.05,5.05,5,5,1458,0
AGP,5,20210225,094000,4.82,4.82,4.8,4.8,600,0
AGP,5,20210225,114000,5,5,5,5,40,0
AGP,5,20210301,100000,4.9,5,4.9,5,500,0
AGP,5,20210304,090000,5.1,5.65,5.1,5.65,1250,0
AGP,5,20210304,093000,5.3,5.65,5.3,5.65,439,0
AGP,5,20210304,101000,6.1,6.1,6.1,6.1,211,0
AGP,5,20210304,102500,5.65,5.65,5.65,5.65,500,0
AGP,5,20210304,103500,5.7,5.75,5.7,5.75,100,0
AGP,5,20210304,104000,5.65,5.65,5.65,5.65,2,0
AGP,5,20210304,110000,5.65,5.65,5.65,5.65,5,0
AGP,5,20210304,112500,5.3,5.3,5,5,938,0
AGP,5,20210304,113500,5.1,5.3,5.1,5.3,130,0
AGP,5,20210304,123500,5.15,5.2,5.15,5.2,247,0
AGP,5,20210304,134500,5,5,5,5,400,0
AGP,5,20210304,135500,5,5.15,5,5.15,20,0
AGP,5,20210304,152000,5.1,5.1,5.1,5.1,168,0
AGP,5,20210305,090000,5.1,5.1,5.1,5.1,25,0
AGP,5,20210305,121000,4.9,4.9,4.9,4.9,409,0
AGP,5,20210305,131000,4.9,4.9,4.9,4.9,316,0
AGP,5,20210309,152500,4.9,4.9,4.9,4.9,409,0
AGP,5,20210310,163000,4.88,4.88,4.86,4.86,1091,0
AGP,5,20210311,142500,4.86,4.86,4.86,4.86,7,0
AGP,5,20210312,164000,4.86,4.86,4.86,4.86,100,0
AGP,5,20210315,131500,5,5,5,5,100,0
AGP,5,20210316,090000,5,5,5,5,29,0
AGP,5,20210316,091500,5,5,5,5,371,0
AGP,5,20210317,091500,4.86,4.86,4.86,4.86,100,0
AGP,5,20210317,124500,4.86,4.86,4.86,4.86,500,0
AGP,5,20210317,143500,4.86,4.86,4.86,4.86,73,0
AGP,5,20210317,155000,4.86,4.86,4.86,4.86,1000,0
AGP,5,20210319,144000,4.86,4.86,4.86,4.86,308,0
AGP,5,20210322,150500,5.05,5.05,5.05,5.05,198,0
AGP,5,20210324,135000,5,5,5,5,23,0
AGP,5,20210324,164500,4.86,4.86,4.86,4.86,89,0
