<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VER,5,20210204,090000,3,3,3,3,400,0
VER,5,20210204,124000,3.08,3.1,3.08,3.1,380,0
VER,5,20210204,130000,3.16,3.16,3.16,3.16,450,0
VER,5,20210208,090000,3,3,3,3,50,0
VER,5,20210209,090000,3,3,3,3,40,0
VER,5,20210209,110000,3.06,3.06,3.06,3.06,600,0
VER,5,20210210,090000,3,3,3,3,50,0
VER,5,20210210,125500,2.96,2.96,2.96,2.96,20,0
VER,5,20210210,161500,3.08,3.08,3.08,3.08,378,0
VER,5,20210212,130000,3.06,3.08,3.06,3.08,1324,0
VER,5,20210212,130500,3.16,3.2,3.16,3.2,64,0
VER,5,20210215,090000,3.04,3.04,3.04,3.04,20,0
VER,5,20210215,090500,3.1,3.1,3.1,3.1,20,0
VER,5,20210215,131500,3.24,3.6,3.24,3.48,3432,0
VER,5,20210215,132000,2.8,2.8,2.8,2.8,1,0
VER,5,20210215,141500,3.5,3.5,3.5,3.5,938,0
VER,5,20210215,142500,3.22,3.22,3.22,3.22,401,0
VER,5,20210215,143500,3.1,3.1,3.1,3.1,1,0
VER,5,20210215,153000,3.3,3.6,3.3,3.6,652,0
VER,5,20210216,091000,3.6,3.6,3.6,3.6,2,0
VER,5,20210216,095000,3.2,3.2,3.2,3.2,264,0
VER,5,20210216,153500,3.3,3.3,3.3,3.3,640,0
VER,5,20210217,090000,3.6,3.6,3.6,3.6,2,0
VER,5,20210217,110000,3.36,3.36,3.36,3.36,49,0
VER,5,20210218,090000,3.1,3.1,3.1,3.1,200,0
VER,5,20210218,095500,3.34,3.34,3.34,3.34,200,0
VER,5,20210218,141000,3.32,3.32,3.32,3.32,10,0
VER,5,20210218,152000,3.3,3.3,3.3,3.3,287,0
VER,5,20210218,164500,3.32,3.32,3.32,3.32,2,0
VER,5,20210219,121500,3.6,3.6,3.6,3.6,2,0
VER,5,20210222,114000,3.26,3.26,3.24,3.24,1620,0
VER,5,20210224,090000,3.6,3.6,3.6,3.6,2,0
VER,5,20210224,121000,3.36,3.36,3.36,3.36,30,0
VER,5,20210226,133000,3.22,3.22,3,3,1650,0
VER,5,20210226,140000,3,3,2.82,2.82,72,0
VER,5,20210226,160500,2.84,2.84,2.84,2.84,30,0
VER,5,20210226,164500,3.08,3.08,3.08,3.08,1,0
VER,5,20210301,094000,2.9,2.9,2.9,2.9,403,0
VER,5,20210301,112000,2.92,2.92,2.9,2.9,1465,0
VER,5,20210301,145000,2.92,2.92,2.92,2.92,150,0
VER,5,20210302,090000,3.4,3.4,3.4,3.4,2,0
VER,5,20210302,103000,2.98,2.98,2.98,2.98,100,0
VER,5,20210302,131500,2.98,2.98,2.98,2.98,50,0
VER,5,20210303,092000,3,3,3,3,500,0
VER,5,20210303,112000,3.04,3.04,3.04,3.04,670,0
VER,5,20210305,163500,3.1,3.1,3.1,3.1,1000,0
VER,5,20210305,164000,3.14,3.14,3.14,3.14,643,0
VER,5,20210308,090000,3.6,3.6,3.6,3.6,1,0
VER,5,20210308,092500,3.24,3.24,3.24,3.24,650,0
VER,5,20210308,093500,3.22,3.22,3.22,3.22,650,0
VER,5,20210312,102000,3.12,3.12,3.12,3.12,1080,0
VER,5,20210312,112000,3.1,3.1,3.1,3.1,610,0
VER,5,20210315,090000,3.06,3.06,3.06,3.06,403,0
VER,5,20210315,091000,3.06,3.06,3.06,3.06,97,0
VER,5,20210315,100000,3.04,3.04,3.04,3.04,253,0
VER,5,20210316,094000,3.06,3.06,3.06,3.06,100,0
VER,5,20210316,102500,3.06,3.06,3.06,3.06,230,0
VER,5,20210317,163000,3.1,3.24,3.1,3.24,970,0
VER,5,20210318,090000,3.26,3.3,3.26,3.3,1190,0
VER,5,20210318,092500,3.2,3.28,3.2,3.28,1834,0
VER,5,20210318,100500,3.2,3.2,3.2,3.2,650,0
VER,5,20210318,103500,3.2,3.2,3.2,3.2,550,0
VER,5,20210318,104500,3.2,3.3,3.2,3.3,1760,0
VER,5,20210318,140000,3.3,3.3,3.3,3.3,610,0
VER,5,20210319,112500,3.14,3.14,3.14,3.14,1000,0
VER,5,20210319,115500,3.08,3.08,3.06,3.06,2000,0
VER,5,20210319,121500,3.06,3.06,3.06,3.06,60,0
VER,5,20210319,122500,3.02,3.02,2.9,2.9,793,0
VER,5,20210319,130500,3.04,3.06,3.04,3.06,2640,0
VER,5,20210322,140000,3.1,3.1,3.1,3.1,700,0
VER,5,20210322,161500,3.2,3.2,3.2,3.2,2000,0
VER,5,20210324,113000,3.1,3.1,3.1,3.1,700,0
VER,5,20210324,114000,3.1,3.1,3.1,3.1,800,0
VER,5,20210324,114500,3.1,3.1,3.1,3.1,1100,0
VER,5,20210324,151000,3.1,3.1,3.1,3.1,400,0
VER,5,20210325,155500,3.14,3.14,3.14,3.14,150,0
VER,5,20210326,163500,3.12,3.12,3.12,3.12,2000,0
