<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUL,5,20210204,094000,18.3,18.3,18.3,18.3,1,0
SUL,5,20210204,095000,18.3,18.3,18.3,18.3,70,0
SUL,5,20210205,101500,18.2,18.2,18.2,18.2,1,0
SUL,5,20210208,092500,18.2,18.2,18.2,18.2,1,0
SUL,5,20210208,154500,18.4,18.4,18.4,18.4,38,0
SUL,5,20210209,092000,18.5,18.5,18.5,18.5,110,0
SUL,5,20210209,093500,18.4,18.4,18.4,18.4,150,0
SUL,5,20210209,094000,18.4,18.4,18.4,18.4,150,0
SUL,5,20210209,101000,18.4,18.4,18.4,18.4,390,0
SUL,5,20210209,103500,18.4,18.4,18,18,202,0
SUL,5,20210209,104000,17.5,17.5,16.5,16.5,38,0
SUL,5,20210209,110500,17,17,17,17,5,0
SUL,5,20210210,130500,17.1,17.1,17.1,17.1,26,0
SUL,5,20210210,143500,17.6,17.8,17.6,17.8,125,0
SUL,5,20210210,145000,18,18,18,18,8,0
SUL,5,20210211,100500,18.2,18.2,18.2,18.2,10,0
SUL,5,20210215,090000,18.1,18.1,18.1,18.1,148,0
SUL,5,20210215,092500,18.1,18.1,18.1,18.1,40,0
SUL,5,20210215,101000,18,18,18,18,20,0
SUL,5,20210215,111000,18,18,18,18,75,0
SUL,5,20210215,113000,18,18,18,18,1000,0
SUL,5,20210215,115500,18,18,18,18,925,0
SUL,5,20210216,090500,17.5,17.5,17.5,17.5,25,0
SUL,5,20210216,092000,17.4,17.4,17.4,17.4,57,0
SUL,5,20210218,091000,17.4,17.4,17.4,17.4,1,0
SUL,5,20210222,115500,17.4,17.4,17.4,17.4,1000,0
SUL,5,20210222,132000,17.3,17.3,17.2,17.2,130,0
SUL,5,20210222,134500,17,17,17,17,58,0
SUL,5,20210303,160500,16.8,16.8,16.8,16.8,78,0
SUL,5,20210303,164500,17.3,17.3,17.3,17.3,150,0
SUL,5,20210305,133500,17.4,17.4,17.4,17.4,10,0
SUL,5,20210308,104000,16.8,16.8,16.7,16.7,97,0
SUL,5,20210308,104500,16.4,16.4,16.3,16.3,70,0
SUL,5,20210309,091500,16.3,16.3,16.3,16.3,1,0
SUL,5,20210309,102500,16.3,16.3,16.3,16.3,50,0
SUL,5,20210309,112000,16.9,16.9,16.9,16.9,120,0
SUL,5,20210309,141500,17.2,17.2,17.2,17.2,10,0
SUL,5,20210311,093000,17.3,17.3,17.3,17.3,78,0
SUL,5,20210312,130000,17.4,17.4,17.4,17.4,10,0
SUL,5,20210312,134500,17.5,17.5,17.4,17.4,614,0
SUL,5,20210312,145000,17.4,17.4,17.4,17.4,376,0
SUL,5,20210316,102500,17.4,17.4,17.4,17.4,1,0
SUL,5,20210322,090000,17,17,17,17,78,0
SUL,5,20210322,090500,16.9,16.9,16.9,16.9,7,0
SUL,5,20210322,143000,16.9,16.9,16.9,16.9,3,0
SUL,5,20210323,093500,16.9,16.9,16.9,16.9,1,0
SUL,5,20210323,101000,16.9,16.9,16.9,16.9,87,0
SUL,5,20210323,150500,17,17,17,17,400,0
SUL,5,20210323,162500,17,17,17,17,13,0
SUL,5,20210326,163500,17.1,17.1,17.1,17.1,100,0
