<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICA,5,20210204,154000,1.53,1.53,1.53,1.53,3,0
ICA,5,20210204,164000,1.62,1.75,1.62,1.75,1000,0
ICA,5,20210205,094000,1.75,1.75,1.75,1.75,10,0
ICA,5,20210205,113500,1.74,1.93,1.74,1.93,5500,0
ICA,5,20210205,114500,1.93,1.93,1.93,1.93,100,0
ICA,5,20210205,130000,1.76,1.76,1.7,1.7,15,0
ICA,5,20210208,153500,1.76,1.76,1.7,1.7,705,0
ICA,5,20210209,093000,1.7,1.7,1.7,1.7,10,0
ICA,5,20210209,115500,1.7,1.7,1.7,1.7,85,0
ICA,5,20210215,100500,1.78,1.9,1.78,1.9,710,0
ICA,5,20210215,110000,1.93,1.93,1.93,1.93,145,0
ICA,5,20210215,111000,1.93,1.93,1.93,1.93,511,0
ICA,5,20210215,112500,1.95,1.95,1.95,1.95,2165,0
ICA,5,20210215,114000,1.98,1.98,1.98,1.98,10,0
ICA,5,20210215,115500,2.06,2.06,2.06,2.06,5,0
ICA,5,20210215,120000,2,2,2,2,500,0
ICA,5,20210215,121500,2.12,2.12,2.12,2.12,200,0
ICA,5,20210215,124500,2.2,2.2,2.2,2.2,585,0
ICA,5,20210215,125000,2.2,2.2,1.92,1.92,3220,0
ICA,5,20210215,131500,2.18,2.18,2.18,2.18,5,0
ICA,5,20210215,133500,2.1,2.18,2.1,2.18,1690,0
ICA,5,20210215,150500,2.2,2.2,2.2,2.2,1010,0
ICA,5,20210216,091000,2.3,2.3,2.3,2.3,50,0
ICA,5,20210216,091500,2.76,2.76,2.76,2.76,50,0
ICA,5,20210216,094500,2.76,2.76,2.76,2.76,1550,0
ICA,5,20210216,095000,2.76,2.76,2.76,2.76,660,0
ICA,5,20210216,114000,2.76,2.76,2.76,2.76,100,0
ICA,5,20210216,125500,2.76,2.76,2.76,2.76,251,0
ICA,5,20210217,090000,2.96,2.96,2.96,2.96,10,0
ICA,5,20210217,092000,2.96,2.96,2.96,2.96,10,0
ICA,5,20210217,092500,2.96,2.96,2.96,2.96,913,0
ICA,5,20210217,095500,2.96,2.96,2.96,2.96,336,0
ICA,5,20210217,103000,2.76,2.76,2.76,2.76,5,0
ICA,5,20210217,122000,2.96,2.96,2.96,2.96,10,0
ICA,5,20210217,133500,2.78,2.78,2.78,2.78,50,0
ICA,5,20210217,163000,2.96,2.96,2.96,2.96,669,0
ICA,5,20210218,092000,2.96,2.96,2.96,2.96,200,0
ICA,5,20210219,095000,2.96,2.96,2.96,2.96,5,0
ICA,5,20210222,094500,2.96,2.96,2.96,2.96,100,0
ICA,5,20210222,133500,2.88,2.88,2.5,2.5,446,0
ICA,5,20210222,160000,2.56,2.56,2.56,2.56,50,0
ICA,5,20210223,093500,2.52,2.52,2.5,2.5,474,0
ICA,5,20210223,094000,2.12,2.12,2.12,2.12,439,0
ICA,5,20210223,153500,2.34,2.34,2.34,2.34,42,0
ICA,5,20210224,145500,2.2,2.2,2.12,2.12,42,0
ICA,5,20210225,094000,2.12,2.12,2.12,2.12,10,0
ICA,5,20210226,094000,2.12,2.12,2.12,2.12,5,0
ICA,5,20210301,093500,2.12,2.12,2.08,2.08,511,0
ICA,5,20210301,095500,2.02,2.02,2,2,500,0
ICA,5,20210308,153500,2.04,2.04,2.04,2.04,10,0
ICA,5,20210309,091500,1.98,1.98,1.98,1.98,10,0
ICA,5,20210316,104000,1.98,1.98,1.98,1.98,150,0
ICA,5,20210317,091500,1.98,1.98,1.98,1.98,10,0
ICA,5,20210318,094500,1.98,1.98,1.98,1.98,10,0
ICA,5,20210319,090000,1.98,1.98,1.98,1.98,100,0
ICA,5,20210319,101500,1.98,1.98,1.98,1.98,50,0
ICA,5,20210322,101500,1.98,1.98,1.98,1.98,10,0
ICA,5,20210322,104500,2.04,2.04,2.04,2.04,40,0
ICA,5,20210323,101500,2.04,2.04,2.04,2.04,5,0
ICA,5,20210324,095500,2.04,2.04,2.04,2.04,5,0
ICA,5,20210325,093000,2.04,2.04,2.04,2.04,10,0
ICA,5,20210326,101500,2.04,2.04,2.04,2.04,5,0
